"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"1","ABCA9","242541_at",2.84e-11,3.66e-12,-7.49,16.7474945,-1.26,"ATP binding cassette subfamily A member 9","242541_at",0.486,0.04400347,-2.13,-5.78228,-0.868,"ATP binding cassette subfamily A member 9","242541_at",0.0115,0.00448,-3.1166594,-2.825331,-0.75749303,"ATP binding cassette subfamily A member 9",8017927,0.0051081,0.000115,-5.4118341,1.38034,-1.42567762,"ATP binding cassette subfamily A member 9"
"2","ABCF2","209246_at",1.27e-21,5.14e-23,11.5,41.5001614,1.06,"ATP binding cassette subfamily F member 2","207623_at",0.296,0.01004706,-2.8,-4.41662,-0.644,"ATP binding cassette subfamily F member 2","207623_at",7.38e-06,7.4e-07,-6.4992817,5.739623,-0.84832228,"ATP binding cassette subfamily F member 2",8143905,0.000223,4.49e-07,9.176468,6.78957,1.0981081,"ATP binding cassette subfamily F member 2"
"3","ADH1B","209614_at",2.87e-08,5.23e-09,-6.16,9.6106608,-0.788,"alcohol dehydrogenase 1B (class I), beta polypeptide","209613_s_at",0.416,0.02783288,-2.35,-5.36669,-1.48,"alcohol dehydrogenase 1B (class I), beta polypeptide","209613_s_at",0.00383,0.00123,-3.6312198,-1.590698,-0.94652813,"alcohol dehydrogenase 1B (class I), beta polypeptide",8101881,0.0259735,0.00151,-3.9931447,-1.17154,-1.73957119,"alcohol dehydrogenase 1B (class I), beta polypeptide"
"4","ALOX5AP","204174_at",2.95e-06,6.82e-07,5.16,4.8674225,0.938,"arachidonate 5-lipoxygenase activating protein","204174_at",0.444,0.03356635,2.26,-5.53768,1.34,"arachidonate 5-lipoxygenase activating protein","204174_at",0.000162,2.99e-05,5.0605183,2.059471,0.87011121,"arachidonate 5-lipoxygenase activating protein",7968344,0.0263354,0.00155,3.9763498,-1.20296,0.86696881,"arachidonate 5-lipoxygenase activating protein"
"5","APOL6","219716_at",3.02e-49,4.63e-52,22.3,108.0123168,4.39,"apolipoprotein L6","241869_at",0.414,0.02726098,2.36,-5.34766,1.51,"apolipoprotein L6","219716_at",2.39e-07,1.01e-08,8.2905594,10.02846,2.02208204,"apolipoprotein L6",8072710,0.0097296,0.000318,4.8344895,0.37059,0.87932429,"apolipoprotein L6"
"6","BIRC3","210538_s_at",4.72e-14,4.43e-15,8.63,23.3785002,1.72,"baculoviral IAP repeat containing 3","230499_at",0.477,0.04168655,2.16,-5.73367,0.612,"baculoviral IAP repeat containing 3","210538_s_at",0.000323,6.72e-05,4.7510411,1.257562,0.94904793,"baculoviral IAP repeat containing 3",7943413,0.0287825,0.00176,3.9095249,-1.32815,0.71060548,"baculoviral IAP repeat containing 3"
"7","CCL19","210072_at",0.00204,0.000696,3.46,-1.7533869,0.69,"C-C motif chemokine ligand 19","210072_at",0.338,0.0148703,2.63,-4.78571,1.21,"C-C motif chemokine ligand 19","210072_at",0.000387,8.32e-05,4.6696507,1.046961,1.45066092,"C-C motif chemokine ligand 19",8160879,0.0067366,0.000181,5.1521564,0.93177,1.91261738,"C-C motif chemokine ligand 19"
"8","CCL2","216598_s_at",1.81e-19,9.38e-21,10.7,36.3288424,1.31,"C-C motif chemokine ligand 2","216598_s_at",0.347,0.01591667,2.6,-4.84932,1.6,"C-C motif chemokine ligand 2","216598_s_at",2.56e-05,3.32e-06,5.9073157,4.242402,1.01419715,"C-C motif chemokine ligand 2",8006433,2.35e-05,7.05e-10,15.6775353,12.50482,4.31368619,"C-C motif chemokine ligand 2///C-C motif chemokine ligand 2"
"9","CD274","227458_at",3.45e-59,1.39e-62,26.8,132.041535,5.48,"CD274 molecule","227458_at",0.28,0.00806663,2.9,-4.20835,1.5,"CD274 molecule","227458_at",1.83e-08,3.48e-10,9.8381327,13.390538,2.40319878,"CD274 molecule",8154233,0.0120033,0.000441,4.6540575,0.04615,0.97379881,"CD274 molecule"
"10","CD53","203416_at",8.25e-13,8.91e-14,8.13,20.4115407,1.07,"CD53 molecule","203416_at",0.283,0.00836362,2.88,-4.24272,1.15,"CD53 molecule","203416_at",2.13e-11,1.29e-14,15.6431931,23.408799,1.4696632,"CD53 molecule",7903893,0.0014784,1.57e-05,6.6290114,3.35144,2.26057429,"CD53 molecule"
