Gene.symbol,ID.PS,adj.P.Val.PS,P.Value.PS,t.PS,B.PS,logFC.PS,Gene.title.PS,ID.AD,adj.P.Val.AD,P.Value.AD,t.AD,B.AD,logFC.AD,Gene.title.AD,ID.HS,adj.P.Val.HS,P.Value.HS,t.HS,B.HS,logFC.HS,Gene.title.HS,ID.VL,adj.P.Val.VL,P.Value.VL,t.VL,B.VL,logFC.VL,Gene.title.VL,ID.CSU,adj.P.Val.CSU,P.Value.CSU,t.CSU,B.CSU,logFC.CSU,Gene.title.CSU
CORO1A,209083_at,1.86e-08,3.31e-09,6.25,10.0576338,0.992,coronin 1A,209083_at,0.211,0.00193039,3.49,-2.82989,1.28,coronin 1A,209083_at,2.54e-07,1.1e-08,8.2540769,9.945263,1.4241105,coronin 1A,ILMN_1713749,0.03116592,0.00582,-2.959082,-2.58441,-0.6536843,coronin 1A,7994769,0.0356856,0.00244,3.7394044,-1.64786,0.75452048,coronin 1A
CTSC,225647_s_at,2.12e-16,1.54e-17,9.55,28.9840675,1.27,cathepsin C,225646_at,0.236,0.0033087,3.27,-3.35318,1.07,cathepsin C,225647_s_at,2.54e-08,5.4e-10,9.6283233,12.953763,1.15357428,cathepsin C,ILMN_2242463,0.01537691,0.00214,3.3456702,-1.65954,0.7334623,cathepsin C,7950906,0.0209316,0.00107,4.1752883,-0.83205,0.97752833,cathepsin C
CXCL8,202859_x_at,2.79e-44,8.56e-47,20.2,95.9634152,6.75,C-X-C motif chemokine ligand 8,202859_x_at,0.247,0.00431494,3.16,-3.60945,3.3,C-X-C motif chemokine ligand 8,211506_s_at,4.47e-05,6.44e-06,5.6499343,3.582628,3.59963039,C-X-C motif chemokine ligand 8,ILMN_1666733,0.03938638,0.008,2.8324679,-2.87401,1.3750851,C-X-C motif chemokine ligand 8,8095680,0.0463401,0.00376,3.5141698,-2.07251,0.71221119,C-X-C motif chemokine ligand 8
DENND4A,1554352_s_at,2.68e-09,4.33e-10,6.63,12.0520644,0.839,DENN domain containing 4A,214787_at,0.395,0.02347427,2.42,-5.2101,0.687,DENN domain containing 4A,214787_at,2.13e-05,2.68e-06,5.9915907,4.457409,0.85802529,DENN domain containing 4A,ILMN_2041161,0.0168047,0.00243,3.2972896,-1.77832,0.7075343,DENN domain containing 4A,7989849,0.0139248,0.000548,4.5344762,-0.17097,0.79206333,DENN domain containing 4A
FHL1,201540_at,2.11e-17,1.38e-18,-9.93,31.3782255,-0.823,four and a half LIM domains 1,210299_s_at,0.496,0.04664418,-2.1,-5.83451,-0.864,four and a half LIM domains 1,210298_x_at,0.0355,0.0169,-2.556123,-4.068646,-0.65819446,four and a half LIM domains 1,ILMN_1805842,0.02255667,0.00366,-3.1403383,-2.15792,-1.2737341,four and a half LIM domains 1,8170119,0.0974851,0.0119,-2.9158248,-3.19492,-0.9315969,four and a half LIM domains 1
JAML,228094_at,2.86e-07,5.83e-08,5.68,7.2563888,0.938,junction adhesion molecule like,228094_at,0.288,0.00888513,2.85,-4.30016,0.844,junction adhesion molecule like,228094_at,2.07e-05,2.58e-06,6.0051179,4.491869,0.8921065,junction adhesion molecule like,ILMN_1778723,0.02746962,0.00484,3.0318363,-2.41484,0.6879555,junction adhesion molecule like,7952022,0.0884555,0.0102,2.9961734,-3.04567,0.83717167,junction adhesion molecule like
KRT15,204734_at,3.78e-16,2.84e-17,-9.45,28.3797712,-1.14,keratin 15,204734_at,0.348,0.01624881,-2.59,-4.86861,-0.686,keratin 15,204734_at,0.006,0.00209,-3.4229173,-2.09898,-0.90669826,keratin 15,ILMN_1770612,0.04222257,0.0088,-2.7937062,-2.96121,-1.120825,keratin 15,8015337,0.0582863,0.00536,-3.3300831,-2.41965,-1.26447762,keratin 15
LYZ,1555745_a_at,7.15e-08,1.36e-08,5.97,8.6754705,2.07,lysozyme,213975_s_at,0.367,0.01879162,2.52,-5.00407,1.29,lysozyme,1555745_a_at,5.7e-06,5.4e-07,6.6255449,6.054594,2.35344604,lysozyme,ILMN_1815205,0.00205459,0.000111,4.4160892,1.12643,1.348751,lysozyme,7957023,0.1108237,0.0146,2.8126618,-3.38537,1.71225571,lysozyme
NMI,203964_at,1.9e-38,1.15e-40,17.8,81.9306479,1.14,N-myc and STAT interactor,203964_at,0.454,0.03631653,2.22,-5.60915,0.74,N-myc and STAT interactor,203964_at,3.98e-06,3.52e-07,6.7985235,6.483295,0.63497655,N-myc and STAT interactor,ILMN_1739541,0.00792088,0.000808,3.7066218,-0.75017,0.9702025,N-myc and STAT interactor,8055702,0.0266428,0.00158,3.9670117,-1.22044,0.65930548,N-myc and STAT interactor
PTGS2,204748_at,0.00127,0.00042,3.6,-1.2802307,0.854,prostaglandin-endoperoxide synthase 2,204748_at,0.502,0.04847284,2.08,-5.86888,1.18,prostaglandin-endoperoxide synthase 2,204748_at,0.00351,0.00112,3.6710439,-1.492414,1.22179571,prostaglandin-endoperoxide synthase 2,ILMN_2054297,0.00968477,0.00109,3.5972602,-1.02969,1.5983493,prostaglandin-endoperoxide synthase 2,7922976,0.0903166,0.0105,2.9808605,-3.07417,1.02673071,prostaglandin-endoperoxide synthase 2
