"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1","AACS","218434_s_at",5.54e-20,2.71e-21,-10.9,37.5616901,-0.688,"acetoacetyl-CoA synthetase","218434_s_at",0.229,0.00284086,-3.33,-3.20556,-0.672,"acetoacetyl-CoA synthetase","218434_s_at",0.00094,0.000236,-4.2717545,0.022352,-0.94223024,"acetoacetyl-CoA synthetase"
"2","ABAT","209459_s_at",1.16e-07,2.27e-08,-5.87,8.1756988,-0.88,"4-aminobutyrate aminotransferase","209460_at",0.284,0.00849243,-2.87,-4.25724,-0.676,"4-aminobutyrate aminotransferase","206527_at",0.028,0.0127,2.6783315,-3.80883,0.60666269,"4-aminobutyrate aminotransferase"
"3","ABCA11P","220159_at",4.98e-12,5.88e-13,-7.81,18.5501133,-1,"ATP binding cassette subfamily A member 11, pseudogene","220159_at",0.386,0.02199154,-2.45,-5.14985,-0.618,"ATP binding cassette subfamily A member 11, pseudogene","220159_at",4.32e-06,3.89e-07,-6.7580759,6.38335,-0.87450289,"ATP binding cassette subfamily A member 11, pseudogene"
"4","ABCA8","204719_at",1.59e-09,2.51e-10,-6.73,12.5885796,-0.678,"ATP binding cassette subfamily A member 8","204719_at",0.263,0.00615085,-3.01,-3.94971,-0.885,"ATP binding cassette subfamily A member 8","204719_at",0.00182,0.000517,-3.9699976,-0.745161,-0.9565287,"ATP binding cassette subfamily A member 8"
"5","ABCA9","242541_at",2.84e-11,3.66e-12,-7.49,16.7474945,-1.26,"ATP binding cassette subfamily A member 9","242541_at",0.486,0.04400347,-2.13,-5.78228,-0.868,"ATP binding cassette subfamily A member 9","242541_at",0.0115,0.00448,-3.1166594,-2.825331,-0.75749303,"ATP binding cassette subfamily A member 9"
"6","ABCC3","209641_s_at",9.14e-06,2.24e-06,-4.9,3.7164705,-0.63,"ATP binding cassette subfamily C member 3","209641_s_at",0.347,0.01592465,-2.6,-4.84979,-0.611,"ATP binding cassette subfamily C member 3","208161_s_at",0.00494,0.00166,-3.5137038,-1.878708,-0.69521272,"ATP binding cassette subfamily C member 3"
"7","ABCF2","209246_at",1.27e-21,5.14e-23,11.5,41.5001614,1.06,"ATP binding cassette subfamily F member 2","207623_at",0.296,0.01004706,-2.8,-4.41662,-0.644,"ATP binding cassette subfamily F member 2","207623_at",7.38e-06,7.4e-07,-6.4992817,5.739623,-0.84832228,"ATP binding cassette subfamily F member 2"
"8","ABHD5","218739_at",2.14e-09,3.42e-10,6.67,12.2835016,1.07,"abhydrolase domain containing 5","213805_at",0.492,0.04561476,-2.11,-5.81453,-0.73,"abhydrolase domain containing 5","218739_at",0.0109,0.00417,-3.1451706,-2.758915,-0.68400971,"abhydrolase domain containing 5"
"9","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","202003_s_at",0.204,0.00171347,-3.54,-2.7136,-1.31,"acetyl-CoA acyltransferase 2","202002_at",1.71e-07,6.65e-09,8.4762988,10.449222,0.61052869,"acetyl-CoA acyltransferase 2"
"10","ACACB","49452_at",6.17e-21,2.7e-22,-11.3,39.8533166,-1.17,"acetyl-CoA carboxylase beta","221928_at",0.213,0.00220449,-3.44,-2.95921,-1.27,"acetyl-CoA carboxylase beta","43427_at",0.00301,0.000931,-3.7417915,-1.317023,-0.72105329,"acetyl-CoA carboxylase beta"
"11","ACADL","206069_s_at",6.72e-13,7.19e-14,-8.17,20.6245446,-1.42,"acyl-CoA dehydrogenase, long chain","206069_s_at",0.395,0.02344462,-2.42,-5.20893,-0.626,"acyl-CoA dehydrogenase, long chain","206068_s_at",1.38e-06,9.39e-08,-7.3401515,7.803067,-2.14696429,"acyl-CoA dehydrogenase, long chain"
"12","ACAP1","205213_at",2.65e-10,3.83e-11,7.07,14.4337994,0.788,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","205213_at",0.213,0.00215534,3.45,-2.93727,1.12,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","205213_at",6.44e-07,3.58e-08,7.7455736,8.766964,1.39667772,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"13","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","205412_at",0.115,2.919e-05,-5.17,1.33598,-0.598,"acetyl-CoA acetyltransferase 1","1559239_s_at",0.000904,0.000225,-4.2894282,0.067615,-0.8693785,"acetyl-CoA acetyltransferase 1"
"14","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","222689_at",0.293,0.00947538,2.83,-4.36115,0.75,"alkaline ceramidase 3","222689_at",4.84e-08,1.29e-09,9.2202897,12.087356,0.9405161,"alkaline ceramidase 3"
"15","ACO1","207071_s_at",9.62e-10,1.48e-10,-6.83,13.105413,-0.88,"aconitase 1","207071_s_at",0.135,0.00017108,-4.46,-0.43703,-1.19,"aconitase 1","207071_s_at",6.07e-05,9.31e-06,5.5075607,3.215945,0.75651709,"aconitase 1"
