"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"1","ABCA5","241705_at",7.48e-15,6.43e-16,-8.95,25.2876319,-1.34,"ATP binding cassette subfamily A member 5",8018038,0.0302223,0.00189,-3.8730757,-1.39653,-0.5922981,"ATP binding cassette subfamily A member 5"
"2","ABCA6","217504_at",3.21e-09,5.24e-10,-6.6,11.865611,-0.959,"ATP binding cassette subfamily A member 6",8017964,0.0059267,0.000147,-5.2706378,1.13761,-1.69905095,"ATP binding cassette subfamily A member 6"
"3","ABCA9","242541_at",2.84e-11,3.66e-12,-7.49,16.7474945,-1.26,"ATP binding cassette subfamily A member 9",8017927,0.0051081,0.000115,-5.4118341,1.38034,-1.42567762,"ATP binding cassette subfamily A member 9"
"4","ABCF2","209246_at",1.27e-21,5.14e-23,11.5,41.5001614,1.06,"ATP binding cassette subfamily F member 2",8143905,0.000223,4.49e-07,9.176468,6.78957,1.0981081,"ATP binding cassette subfamily F member 2"
"5","ABL2","231907_at",5.1e-08,9.55e-09,-6.04,9.0221478,-1.06,"ABL proto-oncogene 2, non-receptor tyrosine kinase",7922610,0.0023442,3.49e-05,6.1245211,2.56126,0.90214714,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
"6","ACADSB","226030_at",2.62e-17,1.73e-18,-9.89,31.1539122,-1.04,"acyl-CoA dehydrogenase, short/branched chain",7931168,0.0120018,0.00044,-4.6545746,0.04709,-0.69199405,"acyl-CoA dehydrogenase, short/branched chain"
"7","ACKR4","220351_at",5e-04,0.000155,-3.87,-0.3391762,-0.669,"atypical chemokine receptor 4",8122334,0.2035728,0.0396,2.2848618,-4.32805,0.69590119,"atypical chemokine receptor 4"
"8","ADD3","201753_s_at",2.73e-17,1.8e-18,-9.89,31.1142345,-1.48,"adducin 3",7930380,0.0169612,0.000758,-4.3590022,-0.49237,-1.01217167,"adducin 3"
"9","ADH1B","209614_at",2.87e-08,5.23e-09,-6.16,9.6106608,-0.788,"alcohol dehydrogenase 1B (class I), beta polypeptide",8101881,0.0259735,0.00151,-3.9931447,-1.17154,-1.73957119,"alcohol dehydrogenase 1B (class I), beta polypeptide"
"10","AGFG1","218092_s_at",4.25e-19,2.29e-20,10.6,35.4427647,0.844,"ArfGAP with FG repeats 1",8048847,0.0028127,4.56e-05,5.9617155,2.29812,0.65930357,"ArfGAP with FG repeats 1"
"11","AGPAT5","218096_at",1.13e-15,8.97e-17,9.26,27.2390316,0.916,"1-acylglycerol-3-phosphate O-acyltransferase 5",8144378,0.001102,9.5e-06,6.9560388,3.84342,1.28427238,"1-acylglycerol-3-phosphate O-acyltransferase 5"
"12","AGTR1","205357_s_at",3.98e-15,3.33e-16,-9.05,25.9386214,-1.84,"angiotensin II receptor type 1",8083240,0.0125088,0.000465,-4.6238643,-0.00852,-0.89875,"angiotensin II receptor type 1"
"13","AIMP2","202138_x_at",3.4e-26,8.35e-28,13.2,52.4654935,0.602,"aminoacyl tRNA synthetase complex interacting multifunctional protein 2",8131374,0.0003107,9.63e-07,8.5812358,6.0634,0.88404643,"aminoacyl tRNA synthetase complex interacting multifunctional protein 2///eukaryotic translation initiation factor 2 alpha kinase 1"
"14","AK2","212173_at",4.42e-10,6.54e-11,6.98,13.9080289,0.866,"adenylate kinase 2",7914617,0.0023442,3.49e-05,6.1244473,2.56114,0.70391238,"adenylate kinase 2"
"15","AKAP12","227530_at",1.35e-10,1.89e-11,-7.2,15.1306188,-1.07,"A-kinase anchoring protein 12",8122807,0.1715373,0.0296,2.4402244,-4.05745,0.7549369,"A-kinase anchoring protein 12"
"16","ALDH1A1","212224_at",3.13e-09,5.09e-10,-6.6,11.8926831,-0.849,"aldehyde dehydrogenase 1 family member A1",8161755,0.0379669,0.00269,-3.6887839,-1.7432,-0.62085881,"aldehyde dehydrogenase 1 family member A1"
"17","ALG3","207396_s_at",1.25e-14,1.1e-15,8.86,24.7558329,0.705,"ALG3, alpha-1,3- mannosyltransferase",8092457,0.0017975,2.12e-05,6.4373115,3.05566,0.68085262,"ALG3, alpha-1,3- mannosyltransferase"
"18","ALOX5AP","204174_at",2.95e-06,6.82e-07,5.16,4.8674225,0.938,"arachidonate 5-lipoxygenase activating protein",7968344,0.0263354,0.00155,3.9763498,-1.20296,0.86696881,"arachidonate 5-lipoxygenase activating protein"
"19","ALYREF","226320_at",4.99e-08,9.33e-09,6.04,9.0446468,0.749,"Aly/REF export factor",8019772,0.0176523,0.000807,4.3250812,-0.55485,0.93969048,"Aly/REF export factor"
"20","AMD1","201196_s_at",1.94e-48,3.37e-51,21.9,106.0408316,2.08,"adenosylmethionine decarboxylase 1",8121489,0.0005796,3.25e-06,7.6895204,4.89043,1.04239357,"adenosylmethionine decarboxylase 1"
"21","ANGPTL1","231773_at",0.000964,0.000311,-3.68,-0.9992634,-0.803,"angiopoietin like 1",7922598,0.0725918,0.00758,-3.1513863,-2.7556,-1.1736831,"angiopoietin like 1"
"22","ANKRD36","214723_x_at",8.1e-15,6.99e-16,-8.93,25.2062133,-0.884,"ankyrin repeat domain 36",8043687,0.0227561,0.00121,-4.1085041,-0.95624,-0.69781571,"ankyrin repeat domain 36"
"23","ANKRD36B","220940_at",1.65e-15,1.32e-16,-9.2,26.8542467,-0.792,"ankyrin repeat domain 36B",8054064,0.0070651,0.000197,-5.1036971,0.84703,-0.78259095,"ankyrin repeat domain 36B"
"24","AOAH","205639_at",3.76e-07,7.8e-08,5.62,6.9736378,0.606,"acyloxyacyl hydrolase",8139033,0.2237743,0.0465,2.1977134,-4.4766,0.62949643,"acyloxyacyl hydrolase"
"25","APOL1","209546_s_at",1.12e-37,7.51e-40,17.5,80.063329,2.68,"apolipoprotein L1",8072735,0.0031986,5.5e-05,5.8479491,2.1119,1.16107976,"apolipoprotein L1"
"26","APOL2","221013_s_at",7.99e-24,2.54e-25,12.3,46.7775457,1.43,"apolipoprotein L2",8075720,0.005258,0.000121,5.3815884,1.32859,0.98726,"apolipoprotein L2"
"27","APOL6","219716_at",3.02e-49,4.63e-52,22.3,108.0123168,4.39,"apolipoprotein L6",8072710,0.0097296,0.000318,4.8344895,0.37059,0.87932429,"apolipoprotein L6"
"28","AQP3","39249_at",3.91e-05,1.04e-05,4.55,2.2383224,0.704,"aquaporin 3 (Gill blood group)",8160670,0.150781,0.0239,2.5530819,-3.85687,0.85184286,"aquaporin 3 (Gill blood group)"
"29","AQP9","205568_at",1.73e-11,2.17e-12,-7.58,17.261644,-2.65,"aquaporin 9",7983910,0.0387448,0.00279,3.6687753,-1.78091,1.02261762,"aquaporin 9"
"30","AREG","205239_at",1.95e-30,2.84e-32,14.8,62.7021326,2.93,"amphiregulin",8095744,0.002246,3.24e-05,6.1711164,2.63584,1.28053881,"amphiregulin"
"31","ARHGAP18","225173_at",0.000992,0.000321,-3.67,-1.0284884,-0.821,"Rho GTPase activating protein 18",8129458,0.0595254,0.00554,3.3131464,-2.45155,0.70872833,"Rho GTPase activating protein 18"
