"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1","A2ML1","1553505_at",1.75e-33,1.83e-35,15.9,70.0153484,2.89,"alpha-2-macroglobulin like 1","1564307_a_at",0.017,0.00709,-2.9264961,-3.261128,-0.94093565,"alpha-2-macroglobulin like 1"
"2","AACS","218434_s_at",5.54e-20,2.71e-21,-10.9,37.5616901,-0.688,"acetoacetyl-CoA synthetase","218434_s_at",0.00094,0.000236,-4.2717545,0.022352,-0.94223024,"acetoacetyl-CoA synthetase"
"3","AAGAB","243284_at",4.3e-07,8.99e-08,-5.59,6.8350507,-1.07,"alpha- and gamma-adaptin binding protein","243284_at",0.000206,3.96e-05,-4.9524648,1.779401,-1.2579897,"alpha- and gamma-adaptin binding protein"
"4","ABAT","209459_s_at",1.16e-07,2.27e-08,-5.87,8.1756988,-0.88,"4-aminobutyrate aminotransferase","206527_at",0.028,0.0127,2.6783315,-3.80883,0.60666269,"4-aminobutyrate aminotransferase"
"5","ABCA11P","220159_at",4.98e-12,5.88e-13,-7.81,18.5501133,-1,"ATP binding cassette subfamily A member 11, pseudogene","220159_at",4.32e-06,3.89e-07,-6.7580759,6.38335,-0.87450289,"ATP binding cassette subfamily A member 11, pseudogene"
"6","ABCA12","215465_at",9.27e-33,1.02e-34,15.7,68.2992638,2.78,"ATP binding cassette subfamily A member 12","215465_at",0.00054,0.000123,-4.521878,0.665282,-1.4293459,"ATP binding cassette subfamily A member 12"
"7","ABCA13","1553604_at",0.00414,0.00148,-3.23,-2.4584523,-0.588,"ATP binding cassette subfamily A member 13","1553605_a_at",0.0331,0.0156,-2.5917336,-3.993661,-1.52822682,"ATP binding cassette subfamily A member 13"
"8","ABCA5","241705_at",7.48e-15,6.43e-16,-8.95,25.2876319,-1.34,"ATP binding cassette subfamily A member 5","213353_at",2.76e-08,6.03e-10,-9.5761648,12.844265,-1.06226617,"ATP binding cassette subfamily A member 5"
"9","ABCA6","217504_at",3.21e-09,5.24e-10,-6.6,11.865611,-0.959,"ATP binding cassette subfamily A member 6","217504_at",0.00547,0.00188,-3.4655361,-1.99583,-0.76499987,"ATP binding cassette subfamily A member 6"
"10","ABCA8","204719_at",1.59e-09,2.51e-10,-6.73,12.5885796,-0.678,"ATP binding cassette subfamily A member 8","204719_at",0.00182,0.000517,-3.9699976,-0.745161,-0.9565287,"ATP binding cassette subfamily A member 8"
"11","ABCA9","242541_at",2.84e-11,3.66e-12,-7.49,16.7474945,-1.26,"ATP binding cassette subfamily A member 9","242541_at",0.0115,0.00448,-3.1166594,-2.825331,-0.75749303,"ATP binding cassette subfamily A member 9"
"12","ABCC3","209641_s_at",9.14e-06,2.24e-06,-4.9,3.7164705,-0.63,"ATP binding cassette subfamily C member 3","208161_s_at",0.00494,0.00166,-3.5137038,-1.878708,-0.69521272,"ATP binding cassette subfamily C member 3"
"13","ABCD3","1554878_a_at",3.46e-15,2.88e-16,9.08,26.0850265,2.22,"ATP binding cassette subfamily D member 3","1554878_a_at",0.00441,0.00146,-3.565595,-1.751916,-0.68043346,"ATP binding cassette subfamily D member 3"
"14","ABCF2","209246_at",1.27e-21,5.14e-23,11.5,41.5001614,1.06,"ATP binding cassette subfamily F member 2","207623_at",7.38e-06,7.4e-07,-6.4992817,5.739623,-0.84832228,"ATP binding cassette subfamily F member 2"
"15","ABHD18","219980_at",1.99e-07,3.99e-08,-5.76,7.6253969,-0.834,"abhydrolase domain containing 18","219980_at",0.003,0.000925,-3.7440407,-1.311431,-0.65876601,"abhydrolase domain containing 18"
"16","ABHD2","63825_at",9.69e-08,1.87e-08,-5.91,8.3654912,-0.655,"abhydrolase domain containing 2","228490_at",1.1e-10,1.57e-13,14.0337683,20.988731,1.36564958,"abhydrolase domain containing 2"
"17","ABHD5","218739_at",2.14e-09,3.42e-10,6.67,12.2835016,1.07,"abhydrolase domain containing 5","218739_at",0.0109,0.00417,-3.1451706,-2.758915,-0.68400971,"abhydrolase domain containing 5"
"18","ABHD6","45288_at",3.28e-18,1.94e-19,-10.2,33.322705,-0.749,"abhydrolase domain containing 6","221552_at",1.41e-08,2.43e-10,-10.0113942,13.746805,-1.04941797,"abhydrolase domain containing 6"
"19","ABI3BP","223395_at",1.09e-10,1.5e-11,-7.24,15.3549764,-0.831,"ABI family member 3 binding protein","220518_at",0.00337,0.00106,-3.6905782,-1.444085,-0.86309132,"ABI family member 3 binding protein"
