"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1","ABLIM2","228132_at",1.89e-29,3.1e-31,-14.4,60.3229346,-2.22,"actin binding LIM protein family member 2","ILMN_1758825",0.00364409,0.00026,-4.1146462,0.31775,-0.8183847,"actin binding LIM protein family member 2","228132_at",0.00111,0.000287,-4.1958948,-0.171583,-0.79588965,"actin binding LIM protein family member 2"
"2","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","ILMN_1660199",0.01182584,0.00145,3.4899491,-1.30072,0.7129633,"acetyl-CoA acyltransferase 2","202002_at",1.71e-07,6.65e-09,8.4762988,10.449222,0.61052869,"acetyl-CoA acyltransferase 2"
"3","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","ILMN_1800008",0.03651638,0.00719,2.8750528,-2.77741,0.7069348,"acetyl-CoA acetyltransferase 1","1559239_s_at",0.000904,0.000225,-4.2894282,0.067615,-0.8693785,"acetyl-CoA acetyltransferase 1"
"4","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","ILMN_1812552",0.00364409,0.00026,4.1144945,0.31734,0.6730827,"alkaline ceramidase 3","222689_at",4.84e-08,1.29e-09,9.2202897,12.087356,0.9405161,"alkaline ceramidase 3"
"5","ACP5","204638_at",2.99e-25,8.07e-27,12.9,50.2087432,1.75,"acid phosphatase 5, tartrate resistant","ILMN_2078599",0.02647422,0.0046,-3.0517231,-2.3681,-0.593246,"acid phosphatase 5, tartrate resistant","204638_at",5.38e-07,2.86e-08,7.8411987,8.991186,1.52187236,"acid phosphatase 5, tartrate resistant"
"6","ACSF2","218844_at",1.34e-15,1.07e-16,-9.24,27.0629238,-1.2,"acyl-CoA synthetase family member 2","ILMN_1711928",0.01060497,0.00124,-3.5482192,-1.15397,-0.6163694,"acyl-CoA synthetase family member 2","218844_at",0.00493,0.00166,-3.5138218,-1.87842,-0.64895525,"acyl-CoA synthetase family member 2"
"7","ACVR1B","205209_at",8.46e-08,1.62e-08,-5.94,8.5047275,-0.862,"activin A receptor type 1B","ILMN_2243308",0.0493831,0.0109,-2.7074732,-3.15262,-0.6651741,"activin A receptor type 1B","208218_s_at",0.000619,0.000144,-4.4609683,0.5083,-0.71836458,"activin A receptor type 1B"
"8","ADGRG1","206582_s_at",0.00073,0.000231,3.76,-0.7193887,0.609,"adhesion G protein-coupled receptor G1","ILMN_2352097",0.0447327,0.00951,-2.7621889,-3.03159,-0.8312674,"adhesion G protein-coupled receptor G1","206582_s_at",0.000102,1.73e-05,-5.2684947,2.598191,-0.61505364,"adhesion G protein-coupled receptor G1"
"9","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","ILMN_1703228",0.00059733,1.61e-05,-5.0876697,2.96314,-0.7365093,"ArfGAP with FG repeats 2","222362_at",4.96e-09,5.56e-11,-10.7460353,15.213746,-1.69429935,"ArfGAP with FG repeats 2"
"10","AGPS","225114_at",4.83e-07,1.02e-07,5.56,6.716301,0.731,"alkylglycerone phosphate synthase","ILMN_1698209",0.00413329,0.000311,4.0507371,0.1482,0.9182704,"alkylglycerone phosphate synthase","205401_at",3.16e-09,2.89e-11,11.0816721,15.860987,0.98595529,"alkylglycerone phosphate synthase"
"11","AGTRAP","225059_at",8.36e-21,3.74e-22,11.2,39.5299528,1.08,"angiotensin II receptor associated protein","ILMN_2307656",0.01195114,0.00148,-3.4833377,-1.3173,-0.5929717,"angiotensin II receptor associated protein","225059_at",2.53e-07,1.09e-08,8.2583369,9.954987,1.01778527,"angiotensin II receptor associated protein"
"12","AHSA2","212980_at",1.48e-07,2.93e-08,-5.82,7.9272187,-0.631,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","ILMN_1798308",0.02653862,0.00462,3.0499915,-2.37218,1.2324498,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","230148_at",2.98e-06,2.46e-07,-6.9432534,6.839386,-0.78939569,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"13","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","ILMN_1792473",0.01097107,0.0013,3.5309648,-1.19753,0.8874445,"allograft inflammatory factor 1","213095_x_at",1.36e-07,4.86e-09,8.6154621,10.761388,1.16394457,"allograft inflammatory factor 1"
"14","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","ILMN_1672148",1.813e-05,3.7e-08,7.2234893,8.76967,2.2752749,"aldo-keto reductase family 1 member B10","206561_s_at",0.00425,0.0014,3.5827111,-1.709959,1.77668876,"aldo-keto reductase family 1 member B10"
"15","ALDH7A1","208950_s_at",1.79e-35,1.49e-37,16.7,74.8012283,0.743,"aldehyde dehydrogenase 7 family member A1","ILMN_1687508",0.01126008,0.00135,3.5163811,-1.23428,0.7279067,"aldehyde dehydrogenase 7 family member A1","213591_at",5.8e-05,8.82e-06,-5.5284302,3.269759,-0.83353744,"aldehyde dehydrogenase 7 family member A1"
"16","ALOXE3","222383_s_at",7.36e-14,7.09e-15,8.55,22.9133787,1.2,"arachidonate lipoxygenase 3","ILMN_1678255",0.04127085,0.00851,-2.8074763,-2.93031,-0.8650142,"arachidonate lipoxygenase 3","207708_at",8.68e-08,2.72e-09,-8.8768085,11.340475,-2.00964312,"arachidonate lipoxygenase 3"
"17","ANGPTL4","221009_s_at",9.02e-28,1.84e-29,13.8,56.2583662,3.58,"angiopoietin like 4","ILMN_1707727",0.03819247,0.00765,-2.8504171,-2.83339,-0.616771,"angiopoietin like 4","221009_s_at",0.00175,0.000492,3.9891517,-0.696786,0.86478826,"angiopoietin like 4"
"18","ANK3","239726_at",1.56e-07,3.09e-08,-5.81,7.8746045,-1.14,"ankyrin 3, node of Ranvier (ankyrin G)","ILMN_2390609",0.04500497,0.00958,2.7590252,-3.03862,0.7044751,"ankyrin 3, node of Ranvier (ankyrin G)","206385_s_at",4.18e-08,1.06e-09,-9.3099542,12.279681,-1.24442441,"ankyrin 3, node of Ranvier (ankyrin G)"
"19","ANKRD13C","1556361_s_at",1.16e-37,7.81e-40,17.5,80.0250518,3.82,"ankyrin repeat domain 13C","ILMN_2148507",0.01225987,0.00153,3.4704137,-1.34969,0.7548847,"ankyrin repeat domain 13C","1556361_s_at",0.0083,0.00305,-3.2716426,-2.461203,-0.61391862,"ankyrin repeat domain 13C"
"20","ANLN","1552619_a_at",8.14e-16,6.33e-17,9.32,27.5838447,1.36,"anillin actin binding protein","ILMN_1739645",0.00745713,0.000735,3.740931,-0.66183,2.0315686,"anillin actin binding protein","222608_s_at",0.00146,0.000397,-4.0713383,-0.488644,-0.74879019,"anillin actin binding protein"
"21","ANXA11","214783_s_at",1.35e-20,6.13e-22,-11.1,39.0386821,-1.04,"annexin A11","ILMN_1807003",0.04512854,0.00962,-2.7574369,-3.04216,-0.6702948,"annexin A11","228727_at",0.000263,5.27e-05,-4.8432767,1.496442,-0.79289033,"annexin A11"
"22","APOD","201525_at",6.99e-21,3.09e-22,-11.2,39.7184492,-0.881,"apolipoprotein D","ILMN_1780170",0.00047468,1.12e-05,-5.2140236,3.31148,-1.7934745,"apolipoprotein D","201525_at",0.0434,0.0214,-2.4509338,-4.28651,-0.59472934,"apolipoprotein D"
"23","APOE","212884_x_at",3.24e-16,2.41e-17,-9.48,28.5397996,-0.674,"apolipoprotein E","ILMN_1740938",0.00605211,0.00055,-3.8463329,-0.38863,-1.2549723,"apolipoprotein E","212883_at",0.00269,0.000817,3.7923091,-1.191199,0.98180058,NA
"24","APOOL","222269_at",1.41e-24,4.18e-26,12.6,48.5722682,1.97,"apolipoprotein O like","ILMN_1777483",0.01816435,0.0027,3.2572367,-1.87605,1.2788763,"apolipoprotein O like","213289_at",0.000191,3.63e-05,-4.9863421,1.867211,-0.70300888,"apolipoprotein O like"
"25","AR","211621_at",3.66e-14,3.4e-15,-8.67,23.6402874,-0.629,"androgen receptor","ILMN_1767351",0.03696277,0.0073,-2.8687712,-2.79171,-0.6705351,"androgen receptor","226197_at",0.00197,0.000564,-3.9358778,-0.831199,-0.84481639,"androgen receptor"
"26","ARF3","211622_s_at",3.82e-28,7.42e-30,13.9,57.1635838,2.27,"ADP ribosylation factor 3","ILMN_1682938",0.00298034,0.000194,-4.2186942,0.5953,-0.9485949,"ADP ribosylation factor 3","211622_s_at",3.95e-06,3.48e-07,6.8026889,6.493577,0.75783611,"ADP ribosylation factor 3"
"27","ARG1","231663_s_at",9.66e-32,1.21e-33,15.3,65.8401353,4.59,"arginase 1","ILMN_1812281",0.02797078,0.00497,3.0213343,-2.43945,1.397024,"arginase 1","206177_s_at",0.00513,0.00174,-3.4956325,-1.922715,-0.99763775,"arginase 1"
"28","ARL6IP6","225711_at",6.76e-09,1.14e-09,6.45,11.1008935,0.797,"ADP ribosylation factor like GTPase 6 interacting protein 6","ILMN_1797964",0.02013612,0.00312,3.2019665,-2.00995,0.8952796,"ADP ribosylation factor like GTPase 6 interacting protein 6","225711_at",1.96e-05,2.42e-06,-6.0306438,4.556854,-0.62021576,"ADP ribosylation factor like GTPase 6 interacting protein 6"
"29","ARMC8","236966_at",6.46e-07,1.38e-07,-5.5,6.4198546,-0.948,"armadillo repeat containing 8","ILMN_1781151",0.01284059,0.00165,3.4439042,-1.41595,0.7398211,"armadillo repeat containing 8","236966_at",2.44e-05,3.14e-06,-5.9286804,4.29696,-1.36085451,"armadillo repeat containing 8"
"30","ATG5","202511_s_at",1.34e-23,4.37e-25,12.2,46.2391751,0.805,"autophagy related 5","ILMN_1718265",0.01640022,0.00235,3.3092477,-1.74904,0.6566303,"autophagy related 5","210639_s_at",0.00012,2.09e-05,5.1977824,2.415116,0.58987019,"autophagy related 5"
"31","ATL2","237968_at",0.000142,4.08e-05,4.21,0.9281863,0.635,"atlastin GTPase 2","ILMN_1716384",0.04161031,0.00861,2.8024384,-2.94163,0.871605,"atlastin GTPase 2","1553603_s_at",2.5e-06,1.98e-07,-7.0311483,7.054445,-0.71640786,"atlastin GTPase 2"
"32","ATP11B","1554556_a_at",1.09e-23,3.52e-25,12.3,46.4541471,2.19,"ATPase phospholipid transporting 11B (putative)","ILMN_1658884",0.04925794,0.0108,2.7087023,-3.14992,0.8040641,"ATPase phospholipid transporting 11B (putative)","238811_at",0.00309,0.000958,-3.7303164,-1.345537,-0.77977322,"ATPase phospholipid transporting 11B (putative)"
"33","ATP5S","238799_at",4.69e-14,4.4e-15,-8.63,23.3858172,-1.14,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","ILMN_1679188",0.02354437,0.00391,3.1149346,-2.21849,0.7178415,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","239859_x_at",5.53e-06,5.21e-07,-6.6401027,6.0908,-0.63240341,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)"
