"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL"
"1","AASDH","235435_at",0.000201,5.88e-05,-4.12,0.5801078,-0.602,"aminoadipate-semialdehyde dehydrogenase","ILMN_1784269",0.04635946,0.01,2.7418013,-3.07686,0.7257071,"aminoadipate-semialdehyde dehydrogenase"
"2","AASDHPPT","202170_s_at",7.62e-14,7.36e-15,8.55,22.8764103,0.927,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","ILMN_2096191",0.02904606,0.00526,2.9988941,-2.49189,0.9753801,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"3","ABHD4","242023_at",8.85e-08,1.7e-08,5.93,8.4583943,1.11,"abhydrolase domain containing 4","ILMN_1700633",0.00095256,3.45e-05,-4.823537,2.23688,-0.5910461,"abhydrolase domain containing 4"
"4","ABLIM2","228132_at",1.89e-29,3.1e-31,-14.4,60.3229346,-2.22,"actin binding LIM protein family member 2","ILMN_1758825",0.00364409,0.00026,-4.1146462,0.31775,-0.8183847,"actin binding LIM protein family member 2"
"5","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","ILMN_1660199",0.01182584,0.00145,3.4899491,-1.30072,0.7129633,"acetyl-CoA acyltransferase 2"
"6","ACAP2","1552472_a_at",1.63e-36,1.21e-38,17.1,77.297785,2.68,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","ILMN_2088825",0.03440531,0.00666,2.9057652,-2.70723,0.8131197,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"7","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","ILMN_1800008",0.03651638,0.00719,2.8750528,-2.77741,0.7069348,"acetyl-CoA acetyltransferase 1"
"8","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","ILMN_1812552",0.00364409,0.00026,4.1144945,0.31734,0.6730827,"alkaline ceramidase 3"
"9","ACOT7","208002_s_at",1.88e-26,4.51e-28,13.3,53.0787742,1.23,"acyl-CoA thioesterase 7","ILMN_2332250",0.00640275,0.000594,-3.8184096,-0.46127,-0.6895868,"acyl-CoA thioesterase 7"
"10","ACP1","201629_s_at",6.62e-21,2.92e-22,11.3,39.7761676,2.11,"acid phosphatase 1, soluble","ILMN_1669633",0.00120736,4.88e-05,4.702996,1.90681,0.9411387,"acid phosphatase 1, soluble"
"11","ACP5","204638_at",2.99e-25,8.07e-27,12.9,50.2087432,1.75,"acid phosphatase 5, tartrate resistant","ILMN_2078599",0.02647422,0.0046,-3.0517231,-2.3681,-0.593246,"acid phosphatase 5, tartrate resistant"
"12","ACSF2","218844_at",1.34e-15,1.07e-16,-9.24,27.0629238,-1.2,"acyl-CoA synthetase family member 2","ILMN_1711928",0.01060497,0.00124,-3.5482192,-1.15397,-0.6163694,"acyl-CoA synthetase family member 2"
"13","ACSM3","210377_at",1.15e-05,2.87e-06,-4.84,3.4774026,-1.22,"acyl-CoA synthetase medium-chain family member 3","ILMN_1771084",0.02239258,0.00362,3.1445099,-2.14795,1.4990075,"acyl-CoA synthetase medium-chain family member 3"
"14","ACSS1","224882_at",7.7e-14,7.45e-15,-8.54,22.864937,-0.641,"acyl-CoA synthetase short-chain family member 1","ILMN_1752269",0.00042842,9.62e-06,-5.2670121,3.45766,-0.9352907,"acyl-CoA synthetase short-chain family member 1"
"15","ACVR1B","205209_at",8.46e-08,1.62e-08,-5.94,8.5047275,-0.862,"activin A receptor type 1B","ILMN_2243308",0.0493831,0.0109,-2.7074732,-3.15262,-0.6651741,"activin A receptor type 1B"
"16","ADAT3","230634_x_at",1.13e-13,1.11e-14,8.48,22.4694278,1.83,"adenosine deaminase, tRNA specific 3///secretory carrier membrane protein 4","ILMN_1806275",0.00061095,1.68e-05,-5.0740551,2.92564,-0.9452009,"adenosine deaminase, tRNA specific 3"
"17","ADGRG1","206582_s_at",0.00073,0.000231,3.76,-0.7193887,0.609,"adhesion G protein-coupled receptor G1","ILMN_2352097",0.0447327,0.00951,-2.7621889,-3.03159,-0.8312674,"adhesion G protein-coupled receptor G1"
"18","ADRM1","201281_at",9.44e-17,6.62e-18,9.68,29.8219066,0.949,"adhesion regulating molecule 1","ILMN_2389013",0.01975436,0.00303,-3.2131044,-1.98306,-0.7138294,"adhesion regulating molecule 1"
"19","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","ILMN_1703228",0.00059733,1.61e-05,-5.0876697,2.96314,-0.7365093,"ArfGAP with FG repeats 2"
"20","AGGF1","218534_s_at",6.77e-21,2.99e-22,11.2,39.7523847,0.957,"angiogenic factor with G-patch and FHA domains 1","ILMN_2064917",0.00404417,0.000302,4.0622092,0.17858,1.0583187,"angiogenic factor with G-patch and FHA domains 1"
"21","AGO2","225827_at",3.65e-29,6.28e-31,14.3,59.6211072,1.8,"argonaute 2, RISC catalytic component","ILMN_1695719",0.03705653,0.00733,-2.8674532,-2.79471,-0.8071665,"argonaute 2, RISC catalytic component"
"22","AGPS","225114_at",4.83e-07,1.02e-07,5.56,6.716301,0.731,"alkylglycerone phosphate synthase","ILMN_1698209",0.00413329,0.000311,4.0507371,0.1482,0.9182704,"alkylglycerone phosphate synthase"
"23","AGTRAP","225059_at",8.36e-21,3.74e-22,11.2,39.5299528,1.08,"angiotensin II receptor associated protein","ILMN_2307656",0.01195114,0.00148,-3.4833377,-1.3173,-0.5929717,"angiotensin II receptor associated protein"
"24","AHSA2","212980_at",1.48e-07,2.93e-08,-5.82,7.9272187,-0.631,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","ILMN_1798308",0.02653862,0.00462,3.0499915,-2.37218,1.2324498,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"25","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","ILMN_1792473",0.01097107,0.0013,3.5309648,-1.19753,0.8874445,"allograft inflammatory factor 1"
"26","AK2","212173_at",4.42e-10,6.54e-11,6.98,13.9080289,0.866,"adenylate kinase 2","ILMN_1670542",0.02588589,0.00447,3.0627375,-2.34215,0.7808366,"adenylate kinase 2"
"27","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","ILMN_1672148",1.813e-05,3.7e-08,7.2234893,8.76967,2.2752749,"aldo-keto reductase family 1 member B10"
"28","AKR1C3","209160_at",2.01e-09,3.2e-10,-6.69,12.3475583,-0.696,"aldo-keto reductase family 1, member C3","ILMN_1713124",0.02982205,0.00545,2.9853064,-2.52354,0.8309589,"aldo-keto reductase family 1, member C3"
"29","ALDH1A1","212224_at",3.13e-09,5.09e-10,-6.6,11.8926831,-0.849,"aldehyde dehydrogenase 1 family member A1","ILMN_2096372",0.01181195,0.00145,3.4917536,-1.29619,0.9145535,"aldehyde dehydrogenase 1 family member A1"
"30","ALDH7A1","208950_s_at",1.79e-35,1.49e-37,16.7,74.8012283,0.743,"aldehyde dehydrogenase 7 family member A1","ILMN_1687508",0.01126008,0.00135,3.5163811,-1.23428,0.7279067,"aldehyde dehydrogenase 7 family member A1"
"31","ALG11","221513_s_at",9.4e-16,7.36e-17,9.3,27.4348646,0.741,"ALG11, alpha-1,2-mannosyltransferase///UTP14A small subunit processome component///UTP14, small subunit processome component homolog C (S. cerevisiae)","ILMN_1660856",0.01238213,0.00155,3.4658256,-1.36117,0.8755508,"ALG11, alpha-1,2-mannosyltransferase"
"32","ALG13","219015_s_at",2.65e-24,8.02e-26,12.5,47.9254847,1.49,"ALG13, UDP-N-acetylglucosaminyltransferase subunit","ILMN_1761456",2.648e-05,7.9e-08,6.9500429,8.04626,1.7220372,"ALG13, UDP-N-acetylglucosaminyltransferase subunit"
"33","ALOXE3","222383_s_at",7.36e-14,7.09e-15,8.55,22.9133787,1.2,"arachidonate lipoxygenase 3","ILMN_1678255",0.04127085,0.00851,-2.8074763,-2.93031,-0.8650142,"arachidonate lipoxygenase 3"
"34","ANGPTL4","221009_s_at",9.02e-28,1.84e-29,13.8,56.2583662,3.58,"angiopoietin like 4","ILMN_1707727",0.03819247,0.00765,-2.8504171,-2.83339,-0.616771,"angiopoietin like 4"
"35","ANK3","239726_at",1.56e-07,3.09e-08,-5.81,7.8746045,-1.14,"ankyrin 3, node of Ranvier (ankyrin G)","ILMN_2390609",0.04500497,0.00958,2.7590252,-3.03862,0.7044751,"ankyrin 3, node of Ranvier (ankyrin G)"
"36","ANKRD12","212286_at",1.88e-10,2.67e-11,7.14,14.7897881,0.822,"ankyrin repeat domain 12","ILMN_1661833",0.00022241,3.54e-06,5.6136417,4.41392,1.7467286,"ankyrin repeat domain 12"
"37","ANKRD13C","1556361_s_at",1.16e-37,7.81e-40,17.5,80.0250518,3.82,"ankyrin repeat domain 13C","ILMN_2148507",0.01225987,0.00153,3.4704137,-1.34969,0.7548847,"ankyrin repeat domain 13C"
"38","ANKRD29","238332_at",1.22e-08,2.12e-09,6.33,10.4957586,1.29,"ankyrin repeat domain 29","ILMN_2075643",0.0029887,0.000196,4.2147814,0.58483,1.772159,"ankyrin repeat domain 29"
"39","ANKRD6","204671_s_at",1.58e-05,3.99e-06,-4.77,3.1590724,-0.915,"ankyrin repeat domain 6","ILMN_2178587",0.04232552,0.00883,2.7925252,-2.96385,0.7132695,"ankyrin repeat domain 6"
"40","ANKRD9","227959_at",7.03e-06,1.7e-06,4.96,3.9833097,0.761,"ankyrin repeat domain 9","ILMN_2048607",0.0143482,0.00192,-3.3866412,-1.55833,-0.753683,"ankyrin repeat domain 9"
