"","Gene.symbol","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1","AAED1","ILMN_1717229",0.00592928,0.00053,3.8598374,-0.35344,1.082205,"AhpC/TSA antioxidant enzyme domain containing 1","227534_at",9.71e-06,1.03e-06,6.3673514,5.408758,0.94646776,"AhpC/TSA antioxidant enzyme domain containing 1"
"2","ABHD12","ILMN_2245305",0.01482068,0.00201,-3.3680685,-1.60428,-0.6510646,"abhydrolase domain containing 12","228124_at",0.000183,3.44e-05,-5.0059202,1.917958,-0.69958915,"abhydrolase domain containing 12"
"3","ABHD14A","ILMN_1794213",0.02097139,0.0033,-3.1799755,-2.06292,-0.6524567,"abhydrolase domain containing 14A","210006_at",7.07e-05,1.12e-05,5.4379756,3.036365,0.75641054,"abhydrolase domain containing 14A///aminoacylase 1"
"4","ABI3","ILMN_1755658",0.00661693,0.000625,-3.8001245,-0.50873,-0.7708603,"ABI family member 3","223615_at",1.62e-08,2.9e-10,9.9257746,13.571249,1.38397203,"ABI family member 3"
"5","ABLIM2","ILMN_1758825",0.00364409,0.00026,-4.1146462,0.31775,-0.8183847,"actin binding LIM protein family member 2","228132_at",0.00111,0.000287,-4.1958948,-0.171583,-0.79588965,"actin binding LIM protein family member 2"
"6","ACAA2","ILMN_1660199",0.01182584,0.00145,3.4899491,-1.30072,0.7129633,"acetyl-CoA acyltransferase 2","202002_at",1.71e-07,6.65e-09,8.4762988,10.449222,0.61052869,"acetyl-CoA acyltransferase 2"
"7","ACAT1","ILMN_1800008",0.03651638,0.00719,2.8750528,-2.77741,0.7069348,"acetyl-CoA acetyltransferase 1","1559239_s_at",0.000904,0.000225,-4.2894282,0.067615,-0.8693785,"acetyl-CoA acetyltransferase 1"
"8","ACER3","ILMN_1812552",0.00364409,0.00026,4.1144945,0.31734,0.6730827,"alkaline ceramidase 3","222689_at",4.84e-08,1.29e-09,9.2202897,12.087356,0.9405161,"alkaline ceramidase 3"
"9","ACP2","ILMN_2104830",0.00447043,0.000346,-4.0126975,0.04765,-0.6030181,"acid phosphatase 2, lysosomal","202767_at",1.04e-08,1.63e-10,10.2062109,14.142656,1.32693433,"acid phosphatase 2, lysosomal"
"10","ACP5","ILMN_2078599",0.02647422,0.0046,-3.0517231,-2.3681,-0.593246,"acid phosphatase 5, tartrate resistant","204638_at",5.38e-07,2.86e-08,7.8411987,8.991186,1.52187236,"acid phosphatase 5, tartrate resistant"
"11","ACSF2","ILMN_1711928",0.01060497,0.00124,-3.5482192,-1.15397,-0.6163694,"acyl-CoA synthetase family member 2","218844_at",0.00493,0.00166,-3.5138218,-1.87842,-0.64895525,"acyl-CoA synthetase family member 2"
"12","ACSL4","ILMN_1683598",0.00843835,0.000885,3.6732754,-0.83574,0.9656529,"acyl-CoA synthetase long-chain family member 4","202422_s_at",1.31e-05,1.49e-06,6.2211227,5.040047,0.8208624,"acyl-CoA synthetase long-chain family member 4"
"13","ACVR1B","ILMN_2243308",0.0493831,0.0109,-2.7074732,-3.15262,-0.6651741,"activin A receptor type 1B","208218_s_at",0.000619,0.000144,-4.4609683,0.5083,-0.71836458,"activin A receptor type 1B"
"14","ADAMTS1","ILMN_1673566",0.04405013,0.00931,2.7710073,-3.01194,0.9125307,"ADAM metallopeptidase with thrombospondin type 1 motif 1","222162_s_at",4.67e-06,4.24e-07,6.7223722,6.294974,1.31855105,"ADAM metallopeptidase with thrombospondin type 1 motif 1"
"15","ADAP1","ILMN_2047511",0.01652667,0.00237,-3.3060751,-1.75681,-1.0299766,"ArfGAP with dual PH domains 1","90265_at",5.99e-05,9.16e-06,5.513929,3.232368,0.79510902,"ArfGAP with dual PH domains 1"
"16","ADGRG1","ILMN_2352097",0.0447327,0.00951,-2.7621889,-3.03159,-0.8312674,"adhesion G protein-coupled receptor G1","206582_s_at",0.000102,1.73e-05,-5.2684947,2.598191,-0.61505364,"adhesion G protein-coupled receptor G1"
"17","AGAP6","ILMN_2209578",0.01641712,0.00236,3.3087262,-1.75032,1.1175358,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6","242393_x_at",0.00013,2.31e-05,-5.1585525,2.313502,-0.65202736,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"
"18","AGFG2","ILMN_1703228",0.00059733,1.61e-05,-5.0876697,2.96314,-0.7365093,"ArfGAP with FG repeats 2","222362_at",4.96e-09,5.56e-11,-10.7460353,15.213746,-1.69429935,"ArfGAP with FG repeats 2"
"19","AGPS","ILMN_1698209",0.00413329,0.000311,4.0507371,0.1482,0.9182704,"alkylglycerone phosphate synthase","205401_at",3.16e-09,2.89e-11,11.0816721,15.860987,0.98595529,"alkylglycerone phosphate synthase"
"20","AGTPBP1","ILMN_1718071",0.01466597,0.00199,3.3731219,-1.59178,0.8705634,"ATP/GTP binding protein 1","242008_at",0.000405,8.75e-05,-4.6502388,0.996766,-0.9207674,NA
"21","AGTRAP","ILMN_2307656",0.01195114,0.00148,-3.4833377,-1.3173,-0.5929717,"angiotensin II receptor associated protein","225059_at",2.53e-07,1.09e-08,8.2583369,9.954987,1.01778527,"angiotensin II receptor associated protein"
"22","AHSA2","ILMN_1798308",0.02653862,0.00462,3.0499915,-2.37218,1.2324498,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","230148_at",2.98e-06,2.46e-07,-6.9432534,6.839386,-0.78939569,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"23","AIF1","ILMN_1792473",0.01097107,0.0013,3.5309648,-1.19753,0.8874445,"allograft inflammatory factor 1","213095_x_at",1.36e-07,4.86e-09,8.6154621,10.761388,1.16394457,"allograft inflammatory factor 1"
"24","AIM1L","ILMN_1669557",0.02700073,0.00473,-3.0407924,-2.39381,-0.7011367,"absent in melanoma 1-like","220289_s_at",0.000615,0.000143,-4.4636942,0.51532,-0.87820809,"absent in melanoma 1-like"
"25","AKR1B10","ILMN_1672148",1.813e-05,3.7e-08,7.2234893,8.76967,2.2752749,"aldo-keto reductase family 1 member B10","206561_s_at",0.00425,0.0014,3.5827111,-1.709959,1.77668876,"aldo-keto reductase family 1 member B10"
"26","AKTIP","ILMN_1665982",0.02832932,0.00505,3.0149113,-2.45448,0.7233242,"AKT interacting protein","223894_s_at",0.000226,4.41e-05,-4.9118036,1.674015,-0.6421899,"AKT interacting protein"
"27","ALDH7A1","ILMN_1687508",0.01126008,0.00135,3.5163811,-1.23428,0.7279067,"aldehyde dehydrogenase 7 family member A1","213591_at",5.8e-05,8.82e-06,-5.5284302,3.269759,-0.83353744,"aldehyde dehydrogenase 7 family member A1"
"28","ALG5","ILMN_1664449",0.02796462,0.00497,3.0215512,-2.43894,0.769476,"ALG5, dolichyl-phosphate beta-glucosyltransferase","222556_at",3.13e-06,2.61e-07,6.919145,6.780238,0.88403713,"ALG5, dolichyl-phosphate beta-glucosyltransferase"
"29","ALOXE3","ILMN_1678255",0.04127085,0.00851,-2.8074763,-2.93031,-0.8650142,"arachidonate lipoxygenase 3","207708_at",8.68e-08,2.72e-09,-8.8768085,11.340475,-2.00964312,"arachidonate lipoxygenase 3"
"30","ANGPTL4","ILMN_1707727",0.03819247,0.00765,-2.8504171,-2.83339,-0.616771,"angiopoietin like 4","221009_s_at",0.00175,0.000492,3.9891517,-0.696786,0.86478826,"angiopoietin like 4"
"31","ANK3","ILMN_2390609",0.04500497,0.00958,2.7590252,-3.03862,0.7044751,"ankyrin 3, node of Ranvier (ankyrin G)","206385_s_at",4.18e-08,1.06e-09,-9.3099542,12.279681,-1.24442441,"ankyrin 3, node of Ranvier (ankyrin G)"
"32","ANKRD10","ILMN_2115218",0.00519003,0.000435,3.9308214,-0.1678,0.6767634,"ankyrin repeat domain 10","239116_at",0.0251,0.0112,2.732871,-3.690684,0.58552422,"ankyrin repeat domain 10"
"33","ANKRD13C","ILMN_2148507",0.01225987,0.00153,3.4704137,-1.34969,0.7548847,"ankyrin repeat domain 13C","1556361_s_at",0.0083,0.00305,-3.2716426,-2.461203,-0.61391862,"ankyrin repeat domain 13C"
"34","ANLN","ILMN_1739645",0.00745713,0.000735,3.740931,-0.66183,2.0315686,"anillin actin binding protein","222608_s_at",0.00146,0.000397,-4.0713383,-0.488644,-0.74879019,"anillin actin binding protein"
"35","ANXA11","ILMN_1807003",0.04512854,0.00962,-2.7574369,-3.04216,-0.6702948,"annexin A11","228727_at",0.000263,5.27e-05,-4.8432767,1.496442,-0.79289033,"annexin A11"
"36","ANXA2R","ILMN_2098616",0.01789963,0.00265,3.2646166,-1.85808,1.0181266,"annexin A2 receptor","227877_at",5.69e-08,1.58e-09,9.1246408,11.88099,1.14091751,"annexin A2 receptor"
"37","APCDD1L","ILMN_1689431",0.01314738,0.0017,-3.4311783,-1.44768,-0.9571712,"APC down-regulated 1 like","235548_at",0.0234,0.0103,2.7695187,-3.610568,0.8090028,"APC down-regulated 1 like"
"38","APOD","ILMN_1780170",0.00047468,1.12e-05,-5.2140236,3.31148,-1.7934745,"apolipoprotein D","201525_at",0.0434,0.0214,-2.4509338,-4.28651,-0.59472934,"apolipoprotein D"
"39","APOE","ILMN_1740938",0.00605211,0.00055,-3.8463329,-0.38863,-1.2549723,"apolipoprotein E","212883_at",0.00269,0.000817,3.7923091,-1.191199,0.98180058,NA
"40","APOOL","ILMN_1777483",0.01816435,0.0027,3.2572367,-1.87605,1.2788763,"apolipoprotein O like","213289_at",0.000191,3.63e-05,-4.9863421,1.867211,-0.70300888,"apolipoprotein O like"
"41","AR","ILMN_1767351",0.03696277,0.0073,-2.8687712,-2.79171,-0.6705351,"androgen receptor","226197_at",0.00197,0.000564,-3.9358778,-0.831199,-0.84481639,"androgen receptor"
"42","ARF3","ILMN_1682938",0.00298034,0.000194,-4.2186942,0.5953,-0.9485949,"ADP ribosylation factor 3","211622_s_at",3.95e-06,3.48e-07,6.8026889,6.493577,0.75783611,"ADP ribosylation factor 3"
"43","ARFGAP3","ILMN_1731287",0.01038725,0.0012,3.5607159,-1.12237,0.8979759,"ADP ribosylation factor GTPase activating protein 3","202211_at",8.61e-07,5.15e-08,7.5919141,8.404142,0.68552428,"ADP ribosylation factor GTPase activating protein 3"
"44","ARG1","ILMN_1812281",0.02797078,0.00497,3.0213343,-2.43945,1.397024,"arginase 1","206177_s_at",0.00513,0.00174,-3.4956325,-1.922715,-0.99763775,"arginase 1"
"45","ARL6IP6","ILMN_1797964",0.02013612,0.00312,3.2019665,-2.00995,0.8952796,"ADP ribosylation factor like GTPase 6 interacting protein 6","225711_at",1.96e-05,2.42e-06,-6.0306438,4.556854,-0.62021576,"ADP ribosylation factor like GTPase 6 interacting protein 6"
"46","ARMC8","ILMN_1781151",0.01284059,0.00165,3.4439042,-1.41595,0.7398211,"armadillo repeat containing 8","236966_at",2.44e-05,3.14e-06,-5.9286804,4.29696,-1.36085451,"armadillo repeat containing 8"
"47","ARV1","ILMN_1800935",0.00918818,0.00101,3.6260375,-0.95645,0.8700429,"ARV1 homolog, fatty acid homeostasis modulator","238140_at",6.33e-05,9.79e-06,-5.4882451,3.166118,-1.30613358,"ARV1 homolog, fatty acid homeostasis modulator"
"48","ASCL2","ILMN_1723412",0.00454873,0.000357,-4.0014601,0.018,-0.9522263,"achaete-scute family bHLH transcription factor 2","229215_at",6.43e-05,9.96e-06,-5.4814102,3.148483,-0.68951616,"achaete-scute family bHLH transcription factor 2"
"49","ATF5","ILMN_1669113",0.00312559,0.00021,-4.1912109,0.52181,-0.7470307,"activating transcription factor 5","204998_s_at",9.94e-07,6.17e-08,7.5157088,8.223064,1.33987591,"activating transcription factor 5"
"50","ATG4C","ILMN_1700923",0.0031852,0.000215,4.1821532,0.49762,1.0630379,"autophagy related 4C cysteine peptidase","228190_at",4.85e-08,1.29e-09,9.21872,12.08398,0.59441033,"autophagy related 4C cysteine peptidase"
"51","ATG5","ILMN_1718265",0.01640022,0.00235,3.3092477,-1.74904,0.6566303,"autophagy related 5","210639_s_at",0.00012,2.09e-05,5.1977824,2.415116,0.58987019,"autophagy related 5"
"52","ATL2","ILMN_1716384",0.04161031,0.00861,2.8024384,-2.94163,0.871605,"atlastin GTPase 2","1553603_s_at",2.5e-06,1.98e-07,-7.0311483,7.054445,-0.71640786,"atlastin GTPase 2"
"53","ATP11B","ILMN_1658884",0.04925794,0.0108,2.7087023,-3.14992,0.8040641,"ATPase phospholipid transporting 11B (putative)","238811_at",0.00309,0.000958,-3.7303164,-1.345537,-0.77977322,"ATPase phospholipid transporting 11B (putative)"
"54","ATP5C1","ILMN_1701269",0.00702849,0.000682,3.7683984,-0.59089,1.3998656,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1","214132_at",5.21e-05,7.74e-06,-5.5788311,3.399635,-0.75990451,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
