"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Psoriasis","GO:0042119","neutrophil activation","211/5313","500/18862",6.78074228178969e-12,3.27505889040702e-08,2.36820164292356e-08,"S100A12/TCN1/CXCL8/CXCL1/HPSE/VNN1/LCN2/SERPINB3/S100A9/RAB27A/ARG1/SERPINA1/GM2A/LRG1/LTF/CXCR2/PKP1/SERPINA3/MAPK14/RAB31/PTAFR/NFASC/SERPINB1/PRSS3/PNP/FCGR3B/LILRB2/ATP11B/ADAM10/DOK3/LYZ/TMEM30A/CTSB/TLR2/PGM2/PLD1/PRSS2/DNAJC5/SELL/ITGAL/S100P/GGH/TOM1/ADAM8/CKAP4/PLAUR/CD47/DNASE1L3/HMOX2/S100A8/AMPD3/IL18RAP/CLEC5A/FABP5/MMP9/TOLLIP/CALML5/PYCARD/PDXK/RAB10/RHOG/RHOF/SLC2A5/ATG7/PSMD12/CTSC/CCL5/DDX3X/CD36/HSPA6/SERPINB12/SNAP29/NRAS/MAPK1/ARHGAP9/ATP6V1D/RAP2B/VCP/PLAU/ANXA2/CTSD/SLPI/GOLGA7/GRN/ACTR2/PSMD1/CD53/CMTM6/RAB24/PTPRC/PSMD11/PLAC8/CD177/CD58/SYK/FGR/C3AR1/RAB18/CD14/COTL1/FRK/CSTB/CAB39/PSMA5/IL15/FCER1G/SLC44A2/SLC15A4/APEH/PYGL/CXCL6/DOCK2/SIRPA/C6orf120/NBEAL2/NAPRT/RAB7A/BIN2/FPR1/TYROBP/CYBB/ITGAX/ITGAM/PRG2/NFKB1/CANT1/ATP6AP2/C5AR1/ARHGAP45/S100A7/PDAP1/MNDA/OSTF1/NCKAP1L/BST2/AGA/GLIPR1/LAIR1/STK10/QSOX1/PA2G4/SURF4/LAMP2/CCT2/PGAM1/DNAJC3/GYG1/PTX3/TNFRSF1B/GLA/DYNLT1/SCAMP1/DGAT1/ABCA13/ORMDL3/PECAM1/VAPA/ASAH1/LGALS3/IDH1/TSPAN14/CAND1/DYNC1H1/ERP44/IQGAP2/HBB/CD63/ATP8B4/IGF2R/GSN/FLG2/CD59/SVIP/KMT2E/IST1/TMEM63A/FTL/CAT/CD44/CPNE3/PSMB7/ALDOC/CEP290/HGSNAT/PYGB/SNAP23/PSMC2/ARMC8/CFD/DNASE1/MOSPD2/SERPINB6/CYSTM1/RAB9B/CEACAM1/CDK13/CEACAM6/RAP1A/SYNGR1/ATP8A1/PADI2/BST1/NHLRC3/MGST1/CYB5R3/ENPP4/SLC27A2/P2RX1/SPTAN1/SLCO4C1/CRACR2A",211
"2","Psoriasis","GO:0002446","neutrophil mediated immunity","210/5313","499/18862",1.03510078710715e-11,3.27505889040702e-08,2.36820164292356e-08,"S100A12/TCN1/CXCL1/HPSE/VNN1/LCN2/SERPINB3/S100A9/RAB27A/ARG1/SERPINA1/GM2A/LRG1/LTF/CXCR2/PKP1/SERPINA3/MAPK14/RAB31/PTAFR/NFASC/SERPINB1/PRSS3/PNP/FCGR3B/LILRB2/ATP11B/ADAM10/DOK3/LYZ/TMEM30A/CTSB/TLR2/PGM2/PLD1/PRSS2/DNAJC5/SELL/ITGAL/S100P/GGH/TOM1/ADAM8/CKAP4/PLAUR/CD47/DNASE1L3/HMOX2/S100A8/AMPD3/CLEC5A/FABP5/MMP9/TOLLIP/CALML5/PYCARD/PDXK/RAB10/RHOG/WDR1/RHOF/SLC2A5/ATG7/PSMD12/CTSC/DDX3X/CD36/HSPA6/SERPINB12/SNAP29/NRAS/MAPK1/ARHGAP9/ATP6V1D/RAP2B/VCP/PLAU/ANXA2/CTSD/SLPI/GOLGA7/GRN/ACTR2/PSMD1/CD53/CMTM6/RAB24/PTPRC/PSMD11/PLAC8/CD177/CD58/SYK/FGR/C3AR1/RAB18/CD14/COTL1/FRK/CSTB/CAB39/PSMA5/FCER1G/SLC44A2/SLC15A4/APEH/PYGL/CXCL6/DOCK2/SIRPA/C6orf120/NBEAL2/NAPRT/TUSC2/RAB7A/BIN2/FPR1/TYROBP/CYBB/ITGAX/ITGAM/PRG2/NFKB1/CANT1/ATP6AP2/C5AR1/ARHGAP45/S100A7/PDAP1/MNDA/OSTF1/NCKAP1L/BST2/AGA/GLIPR1/LAIR1/STK10/QSOX1/PA2G4/SURF4/LAMP2/CCT2/PGAM1/DNAJC3/IL6/GYG1/PTX3/TNFRSF1B/GLA/DYNLT1/SCAMP1/DGAT1/ABCA13/ORMDL3/PECAM1/VAPA/ASAH1/LGALS3/IDH1/TSPAN14/CAND1/DYNC1H1/ERP44/IQGAP2/HBB/CD63/ATP8B4/IGF2R/GSN/FLG2/CD59/SVIP/KMT2E/IST1/TMEM63A/FTL/CAT/CD44/CPNE3/PSMB7/ALDOC/CEP290/HGSNAT/PYGB/SNAP23/PSMC2/ARMC8/CFD/DNASE1/MOSPD2/SERPINB6/CYSTM1/RAB9B/CEACAM1/CDK13/CEACAM6/RAP1A/SYNGR1/ATP8A1/PADI2/BST1/NHLRC3/MGST1/CYB5R3/ENPP4/SLC27A2/P2RX1/SPTAN1/SLCO4C1/CRACR2A",210
"3","Psoriasis","GO:0002283","neutrophil activation involved in immune response","205/5313","488/18862",2.22433279814125e-11,4.69185931554594e-08,3.39269286790176e-08,"S100A12/TCN1/CXCL1/HPSE/VNN1/LCN2/SERPINB3/S100A9/RAB27A/ARG1/SERPINA1/GM2A/LRG1/LTF/CXCR2/PKP1/SERPINA3/MAPK14/RAB31/PTAFR/NFASC/SERPINB1/PRSS3/PNP/FCGR3B/LILRB2/ATP11B/ADAM10/DOK3/LYZ/TMEM30A/CTSB/TLR2/PGM2/PLD1/PRSS2/DNAJC5/SELL/ITGAL/S100P/GGH/TOM1/ADAM8/CKAP4/PLAUR/CD47/DNASE1L3/HMOX2/S100A8/AMPD3/CLEC5A/FABP5/MMP9/TOLLIP/CALML5/PYCARD/PDXK/RAB10/RHOG/RHOF/SLC2A5/ATG7/PSMD12/CTSC/DDX3X/CD36/HSPA6/SERPINB12/SNAP29/NRAS/MAPK1/ARHGAP9/ATP6V1D/RAP2B/VCP/PLAU/ANXA2/CTSD/SLPI/GOLGA7/GRN/ACTR2/PSMD1/CD53/CMTM6/RAB24/PTPRC/PSMD11/PLAC8/CD177/CD58/SYK/FGR/C3AR1/RAB18/CD14/COTL1/FRK/CSTB/CAB39/PSMA5/FCER1G/SLC44A2/SLC15A4/APEH/PYGL/DOCK2/SIRPA/C6orf120/NBEAL2/NAPRT/RAB7A/BIN2/FPR1/TYROBP/CYBB/ITGAX/ITGAM/PRG2/NFKB1/CANT1/ATP6AP2/C5AR1/ARHGAP45/S100A7/PDAP1/MNDA/OSTF1/NCKAP1L/BST2/AGA/GLIPR1/LAIR1/STK10/QSOX1/PA2G4/SURF4/LAMP2/CCT2/PGAM1/DNAJC3/GYG1/PTX3/TNFRSF1B/GLA/DYNLT1/SCAMP1/DGAT1/ABCA13/ORMDL3/PECAM1/VAPA/ASAH1/LGALS3/IDH1/TSPAN14/CAND1/DYNC1H1/ERP44/IQGAP2/HBB/CD63/ATP8B4/IGF2R/GSN/FLG2/CD59/SVIP/IST1/TMEM63A/FTL/CAT/CD44/CPNE3/PSMB7/ALDOC/CEP290/HGSNAT/PYGB/SNAP23/PSMC2/ARMC8/CFD/DNASE1/MOSPD2/SERPINB6/CYSTM1/RAB9B/CEACAM1/CDK13/CEACAM6/RAP1A/SYNGR1/ATP8A1/PADI2/BST1/NHLRC3/MGST1/CYB5R3/ENPP4/SLC27A2/P2RX1/SPTAN1/SLCO4C1/CRACR2A",205
"4","Psoriasis","GO:0043312","neutrophil degranulation","203/5313","485/18862",4.11211188359885e-11,6.50536099985337e-08,4.70403956789584e-08,"S100A12/TCN1/CXCL1/HPSE/VNN1/LCN2/SERPINB3/S100A9/RAB27A/ARG1/SERPINA1/GM2A/LRG1/LTF/CXCR2/PKP1/SERPINA3/MAPK14/RAB31/PTAFR/NFASC/SERPINB1/PRSS3/PNP/FCGR3B/LILRB2/ATP11B/ADAM10/DOK3/LYZ/TMEM30A/CTSB/TLR2/PGM2/PLD1/PRSS2/DNAJC5/SELL/ITGAL/S100P/GGH/TOM1/ADAM8/CKAP4/PLAUR/CD47/HMOX2/S100A8/AMPD3/CLEC5A/FABP5/MMP9/TOLLIP/CALML5/PYCARD/PDXK/RAB10/RHOG/RHOF/SLC2A5/ATG7/PSMD12/CTSC/DDX3X/CD36/HSPA6/SERPINB12/SNAP29/NRAS/MAPK1/ARHGAP9/ATP6V1D/RAP2B/VCP/PLAU/ANXA2/CTSD/SLPI/GOLGA7/GRN/ACTR2/PSMD1/CD53/CMTM6/RAB24/PTPRC/PSMD11/PLAC8/CD177/CD58/SYK/FGR/C3AR1/RAB18/CD14/COTL1/FRK/CSTB/CAB39/PSMA5/FCER1G/SLC44A2/SLC15A4/APEH/PYGL/DOCK2/SIRPA/C6orf120/NBEAL2/NAPRT/RAB7A/BIN2/FPR1/TYROBP/CYBB/ITGAX/ITGAM/PRG2/NFKB1/CANT1/ATP6AP2/C5AR1/ARHGAP45/S100A7/PDAP1/MNDA/OSTF1/NCKAP1L/BST2/AGA/GLIPR1/LAIR1/STK10/QSOX1/PA2G4/SURF4/LAMP2/CCT2/PGAM1/DNAJC3/GYG1/PTX3/TNFRSF1B/GLA/DYNLT1/SCAMP1/DGAT1/ABCA13/ORMDL3/PECAM1/VAPA/ASAH1/LGALS3/IDH1/TSPAN14/CAND1/DYNC1H1/ERP44/IQGAP2/HBB/CD63/ATP8B4/IGF2R/GSN/FLG2/CD59/SVIP/IST1/TMEM63A/FTL/CAT/CD44/CPNE3/PSMB7/ALDOC/CEP290/HGSNAT/PYGB/SNAP23/PSMC2/ARMC8/CFD/MOSPD2/SERPINB6/CYSTM1/RAB9B/CEACAM1/CDK13/CEACAM6/RAP1A/SYNGR1/ATP8A1/PADI2/BST1/NHLRC3/MGST1/CYB5R3/ENPP4/SLC27A2/P2RX1/SPTAN1/SLCO4C1/CRACR2A",203
"5","Psoriasis","GO:0033044","regulation of chromosome organization","126/5313","273/18862",1.51882606317788e-10,1.8472196236568e-07,1.33572820946771e-07,"PRKCQ/CENPE/DLGAP5/CDCA5/CCNB1/TTK/NDC80/IL1B/TRIP13/BUB1/BUB1B/CDT1/CENPF/NEK2/ESPL1/PHF19/WAPL/UBE2C/UBE2N/TOP2A/FBXO5/ISL1/PTTG1/AURKB/CDC20/XRN1/PML/GEN1/PNKP/CDC6/MCM2/RIOK2/RPS6KA4/WDR5/RMI2/MAPK1/MAD2L1/FEN1/DCP2/DNMT1/BUB3/ZNF207/ANAPC7/MORC2/MYC/VEGFA/ING2/ARRB1/NIPBL/SPDL1/ATF7IP/ZWINT/LIG4/RAD50/KNTC1/MAPKAPK5/XRCC3/BRD4/MAD2L1BP/TACC3/ZBTB7B/DNMT3B/SLF2/HDAC8/PIF1/BRCA1/AKAP8/SDR16C5/SMG5/ATR/CTC1/TINF2/CCT5/MAPK3/CDC27/PLK1/C6orf89/SSBP1/SFPQ/RUVBL2/NABP2/SLX1A/PPHLN1/CCT2/SLF1/TADA2B/ERCC1/APC/AXIN2/MECP2/HECW2/NOS1/RIF1/YLPM1/KMT2A/TNKS/LIF/DHX36/PHF1/CDK9/ATM/ANAPC5/TPR/HMBOX1/KMT2E/USP7/PPP1R10/ATRX/PKIB/MAP2K7/TET1/SMAD4/SART3/SENP6/GATA3/CTNNB1/PRKD1/TADA2A/NAP1L2/MUC1/HNRNPU/NUMA1/WDR61/MPHOSPH8/MAPT/PPARGC1A",126
"6","Psoriasis","GO:0032496","response to lipopolysaccharide","145/5313","326/18862",1.76358002717798e-10,1.8472196236568e-07,1.33572820946771e-07,"CXCL8/CXCL1/IL36G/CD274/S100A9/CXCL10/ARG1/TNIP3/PPARD/CXCL9/CXCL2/CXCL13/LTF/IL36B/REN/MIR146A/CMPK2/IL36RN/MAPK14/IL1B/WNT5A/AKIRIN2/PTAFR/LYN/IL36A/SELE/CYP27B1/NOD2/LILRB2/IL12B/MAPKAPK3/THBD/MIR21/IRAK2/UGT1A1/CASP1/MALT1/NOCT/TLR2/GJB2/SBNO2/PTPN22/FMO1/S100A8/IRAK3/PYCARD/IL24/CCL2/CCL5/GJB6/CD36/MAPK1/IDO1/TNFRSF11A/CD96/MYD88/SRR/SLPI/CARD16/IL1F10/RPS6KA3/NFKBIB/IRF8/CSF2RB/ADAM9/CXCL11/TNIP2/SHPK/NLRP7/SELP/GCH1/IRAK1/TRIM5/CD14/BDKRB1/NOS3/CD6/ZFP36/IL10RA/ICAM1/CD86/FER/LGALS9/TICAM1/CXCL6/SIRPA/HCK/PLCG2/HAVCR2/CCR5/AKAP8/TNFAIP3/PCK2/NFKB1/MAPK3/C5AR1/S100A7/CX3CR1/S100A14/LY86/IL6/TAB2/TNFRSF1B/HPGD/MTDH/HNRNPA0/SIGIRR/WDR35/NOS1/SASH1/MEF2C/SNCA/PABPN1/TFPI/TAC1/AXL/FOS/CDC73/VIM/GNRH1/SCARB1/TBXA2R/CNR1/KCNJ8/PRKCA/CDK19/CYP1A2/DUSP10/STAR/EDNRB/F2R/CYP1A1/NR1D1/CLDN1/DCN/AKAP12/GGT7/PTGFR/PCK1/NR1H3/MGST1/TIMP4/XBP1/PPARGC1A/IL37",145
"7","Psoriasis","GO:0140014","mitotic nuclear division","134/5313","296/18862",2.04338453944336e-10,1.8472196236568e-07,1.33572820946771e-07,"CENPE/CDK1/DLGAP5/MKI67/CDCA5/CCNB1/TTK/NDC80/AURKA/KIF4A/CHEK1/IL1B/TRIP13/BUB1/KIF14/BUB1B/CCNB2/NCAPH2/PDS5A/TPX2/CDT1/SMC4/NCAPG/CDCA8/CENPF/KIF23/SMPD3/SMC2/EREG/NEK2/NUF2/PRC1/TUBG1/TGFA/KIF18B/ESPL1/KIF2A/UBE2C/BMP7/SPAG5/KIF2C/REC8/CD28/FBXO5/BORA/PTTG1/TUBG2/NUSAP1/KATNB1/AURKB/CDC20/KIF11/ANLN/NAA50/RCC1/GEN1/SEH1L/CDC6/RIOK2/SGO2/MAD2L1/KIFC1/ANKLE2/BUB3/ZNF207/CENPK/ANAPC7/CDC42/NCAPH/NIPBL/SPDL1/PHIP/NDE1/ZWINT/PSRC1/KNTC1/RAN/TTN/XRCC3/SIRT7/MAD2L1BP/TACC3/CHMP1B/SLF2/PPP2R2A/KIF20B/NCAPG2/PPP2CA/AKAP8/PKMYT1/KIF18A/RANBP1/PRMT5/CHEK2/CNEP1R1/CDC27/VRK1/PLK1/NSFL1C/KNSTRN/NME6/RAB11A/SLF1/KIF22/APC/RGCC/CDC14B/EDN3/HECW2/PDGFRB/TNKS/EPS8/CDC14A/NEK9/L3MBTL1/INSR/CAV2/ATM/CLASP2/ANAPC5/TPR/EML4/PRKCA/ATRX/PDS5B/ARHGEF10/CCDC8/LPIN1/CDK13/HNRNPU/NUMA1/PRKCB/EGF/BTC",134
"8","Psoriasis","GO:0006066","alcohol metabolic process","161/5313","373/18862",2.88252426553293e-10,2.28007669403655e-07,1.64872802398311e-07,"AKR1B10/SPTLC2/PPARD/DHRS9/RDH16/UGT1A3/LDLR/APOL1/GK/PLCD4/PTAFR/DHFR/CLN8/CYP7B1/CYP27B1/MOXD1/GDPD3/SGPP2/CH25H/SQLE/HMGCS1/P2RY1/PLCD1/SULT2B1/ALDH1A3/PLEK/G6PD/RDH12/APOL2/ITPKC/SPTLC3/SRD5A3/ABCG1/MINPP1/PGP/DHRS13/PCBD2/ACER3/TTC39B/ALDH3B2/PRKAA1/ELOVL6/TM7SF2/SPTLC1/SULT1E1/NSDHL/HRH1/GBA2/GCH1/IDH3A/NFYA/SMPD1/RAN/SP1/GOT1/RXRA/DEGS2/LDLRAP1/PLCG2/HMGCR/INPP4B/SDR16C5/PTS/PCK2/NFKB1/IPPK/GDE1/TPI1/NUS1/PLPP6/ADH7/REST/COQ3/PLCD3/PPIP5K1/CYP27C1/COQ2/MVK/RDH10/ACER1/RDH13/CEBPA/DPAGT1/IMPA2/BPNT1/ERLIN1/DGAT1/GPD2/CYP3A5/RETSAT/MECP2/HDLBP/FASN/DHRS3/CYP3A4/ASAH1/SNCA/IDH1/ACSS1/OSBPL1A/NFYB/SLC5A3/APOE/NFYC/INPP4A/AKR1C3/ALDH1B1/PTH1R/SCARB1/PLPP3/DGAT2/IDI1/INPP5A/INSIG1/SOAT1/ADH1B/EPHX2/CAT/MOGAT1/ALDH1A1/ALDH3A2/PECR/CYP1A2/STAR/CYP1B1/PLCE1/CYP1A1/NAPEPLD/PRKAA2/PNPLA4/CBR4/CYP39A1/NUDT3/GPAM/FMO5/SORD/ACAA2/FDX1/GPD1/SERPINA12/ACACB/CYP27A1/H6PD/NUDT11/PCK1/FGF2/PLCB1/LSS/LEPR/LIMA1/AKR1C1/RDH5/MOGAT2/ACADL/PLCB4/CYB5R3/FGF1/CFTR/RBP4/LEP/HMGCS2",161
"9","Psoriasis","GO:0006631","fatty acid metabolic process","167/5313","392/18862",4.51410682473219e-10,3.1739186652117e-07,2.29506694352174e-07,"PLA2G4D/PPARD/LIPG/CYP24A1/CYP2C18/NR4A3/MAPK14/IL1B/PEX13/ALOX12B/SLC27A4/ABCD3/PLA2G3/SESN2/CYP2E1/ACOX1/CYP4F2/PLIN5/PLA2G4B/PANK2/LYPLA1/ACOT11/FABP5/SGPL1/PTGR1/CROT/FAAH2/ELOVL7/ACOT7/CD36/ALOXE3/PRKAA1/ELOVL6/PON2/ABHD5/MID1IP1/ACOX3/HACD1/MORC2/ALOX12/PNPLA8/ALOX5AP/MMAA/PDK1/PTGS2/PLA2G2F/PON3/MCAT/LPIN2/CREM/EIF6/BRCA1/PCK2/CYP4F11/ELOVL4/MAPK3/LYPLA2/ADH7/OXSM/SLC27A6/AOAH/HPGD/PLA2G4F/ERLIN1/LPGAT1/GSTM1/AASDH/FASN/PAM/RGN/ALOX15B/CYP3A4/ASAH1/NUDT7/ACSS1/CYP4V2/ABHD2/MFSD2A/PRKAG2/GPX4/CYP2U1/AACS/AKR1C3/DGAT2/HACL1/ZADH2/GSTM2/CNR1/HADHA/IRS1/INSIG1/PPARA/PDPR/PTGS1/SOX9/EPHX2/ACSL3/PDK3/PRKAB2/ETFBKMT/GSTM4/ACOT4/ALDH3A2/PECR/PTGIS/GSTA1/FADS3/CYP1A2/AVPR1A/ECHDC2/TYSND1/ECI2/ACAT1/CYP1B1/LPIN1/CYP1A1/PNPLA3/PDK4/GPAT2/PRKAA2/IRS2/ACADSB/CBR4/PRKAR2B/ATP6V1B1/PHYH/CEACAM1/EPHX1/GPAM/CAV1/ACAA2/ACACB/ACSF2/CPT1A/FABP3/PCK1/ACSM3/CYP4F12/SLC27A1/ELOVL5/AKR1C1/ACADL/NR1H3/SCD5/PCCB/SLC27A2/PPARG/XBP1/HPGDS/LPL/CYP2J2/ACSBG1/APOC1/ADIPOQ/ACOX2/PPARGC1A/PLP1/HAO2/FA2H/CRAT/AWAT1/CYP4F8/LEP/FADS2/ACOT1/ELOVL3/PM20D1",167
"10","Psoriasis","GO:0010639","negative regulation of organelle organization","150/5313","346/18862",8.02745552402700e-10,5.05263860516984e-07,3.65357309479561e-07,"TJP1/CCNB1/TTK/NDC80/TIGAR/PPIF/CHEK1/TRIP13/BUB1/BUB1B/GMFB/TPX2/CDT1/LILRB2/CENPF/MIR21/NAV3/MAP2/ESPL1/SLC35F6/F11R/WAPL/BMP7/TOP2A/FBXO5/BOK/PTTG1/TMOD3/MAPRE1/CAMSAP1/KATNB1/AURKB/CDC20/RAD1/XRN1/PRKAR1A/TAOK1/GEN1/MCM2/PAK2/DNM1L/MAD2L1/CCNF/DCP2/HORMAD1/BUB3/MID1IP1/PPFIA1/ZNF207/PRELID1/DNM2/BNIP3/CORO1A/ARHGAP28/PHF23/SPDL1/ZWINT/ARFGEF1/ODF2L/CAMSAP2/RAD50/USP30/KNTC1/LIMK2/NPM1/XRCC3/WAS/MAD2L1BP/AVIL/TBC1D7/YAP1/PIF1/BRCA1/CORO1B/RAB7A/STMN1/SPTBN2/CTC1/ARRB2/TINF2/TFRC/PLK1/TWF1/NME6/PSMD10/SLX1A/SSH3/MKKS/NUBP1/ERCC1/APC/TRIOBP/ATXN7/KANK3/TUBB4A/RBM14/SNCA/TNKS/EPS8/LIF/S1PR1/DLC1/GSN/ATM/CLU/CLASP2/NUPR1/TPR/PHLDB2/TTBK2/SLIT2/MAK/TMEM39A/MAP1B/DMTN/FEZ1/PFN2/CAMSAP3/CLIP3/ATRX/TET1/SPTBN1/SVIL/SMAD4/TMSB15B/MYADM/TMEM67/EML2/STMN2/FHOD3/MPV17L/WASF2/PIK3R1/PLEKHH2/FGF13/CAPZA3/ACAA2/HNRNPU/LIMA1/ARHGAP6/ADD3/PPP1R9A/LMOD1/NOL3/CORO2B/MAPT/SPTAN1/PPARGC1A/MYOC/SCIN",150
