pair,S_AB,d_AB,d_A,d_B,n_A,n_B
PS-AD,-0.267,1.044,1.164,1.458,4417,1075
PS-HS,-0.594,0.581,1.164,1.187,4417,4258
PS-VL,-0.272,0.940,1.164,1.261,4417,2379
PS-CSU,0.020,1.281,1.164,1.359,4417,777
PS-SLS,0.597,2.315,1.164,2.273,4417,22
AD-HS,-0.152,1.171,1.458,1.187,1075,4258
AD-VL,-0.039,1.320,1.458,1.261,1075,2379
AD-CSU,-0.132,1.276,1.458,1.359,1075,777
AD-SLS,0.418,2.283,1.458,2.273,1075,22
HS-VL,-0.185,1.040,1.187,1.261,4258,2379
HS-CSU,0.050,1.323,1.187,1.359,4258,777
HS-SLS,0.608,2.338,1.187,2.273,4258,22
VL-CSU,-0.018,1.292,1.261,1.359,2379,777
VL-SLS,0.507,2.274,1.261,2.273,2379,22
CSU-SLS,0.332,2.148,1.359,2.273,777,22
