from,to,Network_separation_s_AB,Mean_shortest_distance_d_AB,network_diameter_d_A,network_diameter_d_B
HS,PS,-0.594,0.581,1.187,1.164
PS,VL,-0.272,0.940,1.164,1.261
AD,PS,-0.267,1.044,1.458,1.164
HS,VL,-0.185,1.040,1.187,1.261
AD,HS,-0.152,1.171,1.458,1.187
AD,CSU,-0.132,1.276,1.458,1.359
AD,VL,-0.039,1.320,1.458,1.261
CSU,VL,-0.018,1.292,1.359,1.261
CSU,PS,0.020,1.281,1.359,1.164
CSU,HS,0.050,1.323,1.359,1.187
CSU,SLS,0.332,2.148,1.359,2.273
AD,SLS,0.418,2.283,1.458,2.273
VL,SLS,0.507,2.274,1.261,2.273
PS,SLS,0.597,2.315,1.164,2.273
HS,SLS,0.608,2.338,1.187,2.273
