"disease","ID","Description","GeneRatio","p.adjust","Count"
"PS","GO:0031424","keratinization","25/2462",0.0042464722614506,25
"PS","GO:0008544","epidermis development","99/2462",0.00710944710786717,99
"PS","GO:0043588","skin development","86/2462",0.00753742219615925,86
"PS","GO:0030216","keratinocyte differentiation","51/2462",0.00753742219615925,51
"PS","GO:0009617","response to bacterium","128/2462",0.00927006813859028,128
"PS","GO:0051301","cell division","146/2462",0.0154934607721116,146
"PS","GO:1905818","regulation of chromosome separation","29/2462",0.0157290402809664,29
"PS","GO:0008608","attachment of spindle microtubules to kinetochore","23/2462",0.0157290402809664,23
"PS","GO:0050792","regulation of viral process","50/2462",0.0157290402809664,50
"PS","GO:0009913","epidermal cell differentiation","64/2462",0.0157290402809664,64
"PS","GO:0033047","regulation of mitotic sister chromatid segregation","24/2462",0.0157290402809664,24
"PS","GO:0007088","regulation of mitotic nuclear division","40/2462",0.0157290402809664,40
"PS","GO:0010965","regulation of mitotic sister chromatid separation","25/2462",0.0157290402809664,25
"PS","GO:0007094","mitotic spindle assembly checkpoint signaling","21/2462",0.0157290402809664,21
"PS","GO:0071173","spindle assembly checkpoint signaling","21/2462",0.0157290402809664,21
"PS","GO:0071174","mitotic spindle checkpoint signaling","21/2462",0.0157290402809664,21
"PS","GO:0051306","mitotic sister chromatid separation","26/2462",0.0157290402809664,26
"PS","GO:1903900","regulation of viral life cycle","43/2462",0.0191908849343779,43
"PS","GO:0031577","spindle checkpoint signaling","21/2462",0.0191908849343779,21
"PS","GO:0033046","negative regulation of sister chromatid segregation","21/2462",0.0191908849343779,21
"PS","GO:0033048","negative regulation of mitotic sister chromatid segregation","21/2462",0.0191908849343779,21
"PS","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","21/2462",0.0191908849343779,21
"PS","GO:2000816","negative regulation of mitotic sister chromatid separation","21/2462",0.0191908849343779,21
"PS","GO:0051336","regulation of hydrolase activity","126/2462",0.0218719264876866,126
"PS","GO:0051783","regulation of nuclear division","42/2462",0.0250308761930382,42
"PS","GO:0051983","regulation of chromosome segregation","42/2462",0.0250308761930382,42
"PS","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","21/2462",0.0259887161806219,21
"PS","GO:1905819","negative regulation of chromosome separation","21/2462",0.0259887161806219,21
"PS","GO:0051656","establishment of organelle localization","118/2462",0.0275364868146486,118
"PS","GO:0051984","positive regulation of chromosome segregation","14/2462",0.0301341951563395,14
"PS","GO:0000070","mitotic sister chromatid segregation","58/2462",0.032387631101,58
"PS","GO:0031109","microtubule polymerization or depolymerization","39/2462",0.0334812093297114,39
"PS","GO:0002237","response to molecule of bacterial origin","78/2462",0.0334812093297114,78
"PS","GO:0051985","negative regulation of chromosome segregation","21/2462",0.0334812093297114,21
"PS","GO:0051304","chromosome separation","29/2462",0.0334812093297114,29
"PS","GO:0032496","response to lipopolysaccharide","76/2462",0.0340601194803602,76
"PS","GO:0031348","negative regulation of defense response","63/2462",0.0340601194803602,63
"PS","GO:0052547","regulation of peptidase activity","74/2462",0.0361324816030058,74
"PS","GO:0042759","long-chain fatty acid biosynthetic process","11/2462",0.0442818669270586,11
"PS","GO:0001944","vasculature development","146/2462",0.045243028862363,146
"PS","GO:0006954","inflammatory response","158/2462",0.045243028862363,158
"PS","GO:0042403","thyroid hormone metabolic process","10/2462",0.0486668319734642,10
"AD","GO:0032787","monocarboxylic acid metabolic process","148/2469",5.23948384448518e-05,148
"AD","GO:0044772","mitotic cell cycle phase transition","123/2469",0.000170019374503433,123
"AD","GO:0051301","cell division","156/2469",0.000207639894892398,156
"AD","GO:0042110","T cell activation","140/2469",0.000223666793769527,140
"AD","GO:0006954","inflammatory response","175/2469",0.000223666793769527,175
"AD","GO:0007059","chromosome segregation","116/2469",0.000237770956046534,116
"AD","GO:0006637","acyl-CoA metabolic process","35/2469",0.000237770956046534,35
"AD","GO:0035383","thioester metabolic process","35/2469",0.000237770956046534,35
"AD","GO:0006631","fatty acid metabolic process","93/2469",0.000311582902946834,93
"AD","GO:0044770","cell cycle phase transition","142/2469",0.000464024268831603,142
"AD","GO:0002757","immune response-activating signaling pathway","117/2469",0.000510578567170809,117
"AD","GO:0007346","regulation of mitotic cell cycle","132/2469",0.000513207836477125,132
"AD","GO:0050865","regulation of cell activation","140/2469",0.000644843713446725,140
"AD","GO:0051251","positive regulation of lymphocyte activation","85/2469",0.000704566141607298,85
"AD","GO:1901990","regulation of mitotic cell cycle phase transition","97/2469",0.000704566141607298,97
"AD","GO:1903131","mononuclear cell differentiation","125/2469",0.000704566141607298,125
"AD","GO:0048285","organelle fission","119/2469",0.000704566141607298,119
"AD","GO:0002521","leukocyte differentiation","144/2469",0.000704566141607298,144
"AD","GO:0002252","immune effector process","137/2469",0.000704566141607298,137
"AD","GO:0050778","positive regulation of immune response","160/2469",0.000735377096591215,160
"AD","GO:0002274","myeloid leukocyte activation","58/2469",0.000735377096591215,58
"AD","GO:0050867","positive regulation of cell activation","92/2469",0.000735377096591215,92
"AD","GO:0002694","regulation of leukocyte activation","128/2469",0.000735377096591215,128
"AD","GO:0098813","nuclear chromosome segregation","90/2469",0.000735377096591215,90
"AD","GO:1903039","positive regulation of leukocyte cell-cell adhesion","73/2469",0.000822505940769561,73
"AD","GO:0140014","mitotic nuclear division","83/2469",0.000822505940769561,83
"AD","GO:0002696","positive regulation of leukocyte activation","89/2469",0.00083131416789079,89
"AD","GO:0002429","immune response-activating cell surface receptor signaling pathway","77/2469",0.000874613956046998,77
"AD","GO:0051249","regulation of lymphocyte activation","115/2469",0.00107175213486581,115
"AD","GO:0000082","G1/S transition of mitotic cell cycle","69/2469",0.00116797461541631,69
"AD","GO:0045787","positive regulation of cell cycle","87/2469",0.00116797461541631,87
"AD","GO:0008608","attachment of spindle microtubules to kinetochore","24/2469",0.00119098955422553,24
"AD","GO:0002764","immune response-regulating signaling pathway","121/2469",0.00119098955422553,121
"AD","GO:0002250","adaptive immune response","104/2469",0.0012267466673622,104
"AD","GO:0001817","regulation of cytokine production","162/2469",0.00135006311532371,162
"AD","GO:0001816","cytokine production","162/2469",0.0014809013488495,162
