N,pair,d_AB,s_AB
1000,PS-HS,1.2560810810810812,-0.35637863964931626
1000,PS-AD,0.9967213114754099,-0.5730839561694054
1000,PS-VL,1.4015645371577574,-0.1307068138084908
1000,PS-CSU,1.3009523809523809,-0.17452394426927542
1000,AD-HS,1.3078444297956493,-0.2603854708602651
1000,AD-VL,1.4038095238095238,-0.08423200708224132
1000,AD-CSU,1.2294372294372293,-0.2018092757099441
1000,HS-VL,1.5203412073490814,-0.010354776628265894
1000,HS-CSU,1.3435309114085405,-0.13037004682421482
1000,VL-CSU,1.2732307692307692,-0.12048181923783696
2720,PS-HS,0.8104335047759,-0.518830165403173
2720,PS-AD,0.7471977104698306,-0.5377783993556196
2720,PS-VL,0.9952255908331344,-0.3126842140286654
2720,PS-CSU,0.8973224679860302,-0.3605881768166378
2720,AD-HS,0.8955726660250241,-0.40106011008844855
2720,AD-VL,0.9570724841660803,-0.3182064266301192
2720,AD-CSU,0.8457312886243992,-0.37954846211266846
2720,HS-VL,1.0462650602409638,-0.2733014109088585
2720,HS-CSU,0.9659224441833137,-0.3036448669073767
2720,VL-CSU,0.8983050847457628,-0.34990836102765477
