"disease","ID","Description","GeneRatio","p.adjust","Count"
"PS","GO:0140014","mitotic nuclear division","37/557",2.5952982999703e-06,37
"PS","GO:0000070","mitotic sister chromatid segregation","30/557",2.5952982999703e-06,30
"PS","GO:0007088","regulation of mitotic nuclear division","21/557",2.37257783858241e-05,21
"PS","GO:0009617","response to bacterium","48/557",2.85328005195381e-05,48
"PS","GO:0098813","nuclear chromosome segregation","36/557",2.85328005195381e-05,36
"PS","GO:1905818","regulation of chromosome separation","16/557",3.9964141525466e-05,16
"PS","GO:0000819","sister chromatid segregation","30/557",6.16658536658046e-05,30
"PS","GO:0051783","regulation of nuclear division","21/557",6.5892673032461e-05,21
"PS","GO:0000280","nuclear division","40/557",7.25960493183563e-05,40
"PS","GO:0051304","chromosome separation","16/557",0.000113797000664688,16
"PS","GO:0048285","organelle fission","42/557",0.000165352452438351,42
"PS","GO:0051306","mitotic sister chromatid separation","14/557",0.000165352452438351,14
"PS","GO:0007059","chromosome segregation","40/557",0.000165352452438351,40
"PS","GO:0051983","regulation of chromosome segregation","20/557",0.000172877177096038,20
"PS","GO:0031424","keratinization","12/557",0.000398214991191338,12
"PS","GO:0010965","regulation of mitotic sister chromatid separation","13/557",0.000398214991191338,13
"PS","GO:0048525","negative regulation of viral process","15/557",0.00109759332990104,15
"PS","GO:0044770","cell cycle phase transition","45/557",0.0013256481095315,45
"PS","GO:0051310","metaphase chromosome alignment","16/557",0.00159005772803129,16
"PS","GO:0045071","negative regulation of viral genome replication","11/557",0.00165968263746473,11
"PS","GO:0045787","positive regulation of cell cycle","30/557",0.00252446028039064,30
"PS","GO:0008608","attachment of spindle microtubules to kinetochore","11/557",0.00255901088713186,11
"PS","GO:0019730","antimicrobial humoral response","14/557",0.00270579294257578,14
"PS","GO:0051607","defense response to virus","28/557",0.0032480234815443,28
"PS","GO:0050000","chromosome localization","17/557",0.00366745839776998,17
"PS","GO:0044772","mitotic cell cycle phase transition","37/557",0.00417919972349103,37
"PS","GO:0033047","regulation of mitotic sister chromatid segregation","11/557",0.00417919972349103,11
"PS","GO:0051303","establishment of chromosome localization","16/557",0.00417919972349103,16
"PS","GO:0007094","mitotic spindle assembly checkpoint signaling","10/557",0.00417919972349103,10
"PS","GO:0071173","spindle assembly checkpoint signaling","10/557",0.00417919972349103,10
"PS","GO:0071174","mitotic spindle checkpoint signaling","10/557",0.00417919972349103,10
"PS","GO:0045839","negative regulation of mitotic nuclear division","11/557",0.00439083484037923,11
"PS","GO:1905820","positive regulation of chromosome separation","8/557",0.00439083484037923,8
"PS","GO:0031577","spindle checkpoint signaling","10/557",0.00439083484037923,10
"PS","GO:0033046","negative regulation of sister chromatid segregation","10/557",0.00439083484037923,10
"PS","GO:0033048","negative regulation of mitotic sister chromatid segregation","10/557",0.00439083484037923,10
"PS","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","10/557",0.00439083484037923,10
"PS","GO:2000816","negative regulation of mitotic sister chromatid separation","10/557",0.00439083484037923,10
"PS","GO:0000212","meiotic spindle organization","6/557",0.00445556469522612,6
"PS","GO:0030071","regulation of mitotic metaphase/anaphase transition","14/557",0.00445556469522612,14
"PS","GO:0006959","humoral immune response","19/557",0.00463397399260261,19
"PS","GO:0051301","cell division","45/557",0.0047385213571332,45
"PS","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","10/557",0.00483956168177826,10
"PS","GO:1905819","negative regulation of chromosome separation","10/557",0.00483956168177826,10
"PS","GO:0045132","meiotic chromosome segregation","12/557",0.00487106800601736,12
"PS","GO:0051784","negative regulation of nuclear division","11/557",0.00487106800601736,11
"PS","GO:0032728","positive regulation of interferon-beta production","9/557",0.00487106800601736,9
"PS","GO:0033045","regulation of sister chromatid segregation","15/557",0.00492025130726491,15
"PS","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","14/557",0.00492025130726491,14
"PS","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","14/557",0.00492025130726491,14
"PS","GO:0009615","response to virus","32/557",0.00512806290248585,32
"PS","GO:0051985","negative regulation of chromosome segregation","10/557",0.00518163351312935,10
"PS","GO:0090068","positive regulation of cell cycle process","24/557",0.00544398508188165,24
"PS","GO:0051383","kinetochore organization","6/557",0.0054444729209824,6
"PS","GO:0051346","negative regulation of hydrolase activity","20/557",0.00587917970788016,20
"PS","GO:0044784","metaphase/anaphase transition of cell cycle","14/557",0.005987237392275,14
"PS","GO:0000075","cell cycle checkpoint signaling","21/557",0.00647476740996816,21
"PS","GO:0010948","negative regulation of cell cycle process","27/557",0.00647476740996816,27
"PS","GO:1901987","regulation of cell cycle phase transition","36/557",0.00679086633614205,36
