"N","pair","overlap","jaccard","rank"
250,"PS-AD",71,0.1655,1
250,"PS-HS",26,0.0549,2
250,"AD-CSU",25,0.0526,3
250,"AD-HS",22,0.046,4
250,"PS-SLS",18,0.0373,5
250,"PS-CSU",15,0.0309,6
250,"VL-CSU",14,0.0288,7
250,"AD-VL",13,0.0267,8
250,"HS-SLS",13,0.0267,9
250,"HS-CSU",12,0.0246,10
250,"PS-VL",11,0.0225,11
250,"AD-SLS",10,0.0204,12
250,"CSU-SLS",5,0.0101,13
250,"HS-VL",4,0.0081,14
250,"VL-SLS",4,0.0081,15
400,"PS-AD",130,0.194,1
400,"PS-HS",53,0.071,2
400,"AD-HS",48,0.0638,3
400,"AD-CSU",48,0.0638,4
400,"PS-CSU",36,0.0471,5
400,"PS-SLS",35,0.0458,6
400,"VL-CSU",29,0.0376,7
400,"PS-VL",28,0.0363,8
400,"AD-VL",28,0.0363,9
400,"HS-SLS",26,0.0336,10
400,"HS-CSU",25,0.0323,11
400,"AD-SLS",19,0.0243,12
400,"HS-VL",15,0.0191,13
400,"CSU-SLS",15,0.0191,14
400,"VL-SLS",9,0.0114,15
582,"PS-AD",202,0.21,1
582,"PS-HS",99,0.093,2
582,"AD-HS",90,0.0838,3
582,"AD-CSU",78,0.0718,4
582,"HS-CSU",53,0.0477,5
582,"PS-CSU",52,0.0468,6
582,"AD-VL",50,0.0449,7
582,"PS-SLS",49,0.0439,8
582,"PS-VL",47,0.0421,9
582,"VL-CSU",45,0.0402,10
582,"HS-SLS",41,0.0365,11
582,"AD-SLS",35,0.031,12
582,"HS-VL",27,0.0237,13
582,"CSU-SLS",26,0.0228,14
582,"VL-SLS",24,0.0211,15
