N,pair,d_AB,s_AB
250,PS-HS,1.7386666666666666,-0.10870415054252991
250,PS-AD,1.2199488491048593,-0.5304742298522509
250,PS-VL,1.781637717121588,0.06111267513798624
250,PS-CSU,1.6280193236714975,-0.021359682268445868
250,PS-SLS,1.8324742268041236,0.03443026900786017
250,AD-HS,1.7591623036649215,-0.10041169721342724
250,AD-VL,1.7829268292682927,0.05019860361553885
250,AD-CSU,1.5771971496437054,-0.08438503996539004
250,AD-SLS,1.8,-0.010247141465415499
250,HS-VL,2.005050505050505,0.1753745411456653
250,HS-CSU,1.7837837837837838,0.02525385592260232
250,HS-SLS,1.8818897637795275,-0.02530511593797402
250,VL-CSU,1.6896551724137931,0.0579710197782064
250,VL-SLS,1.8924205378973105,0.1120714334054036
250,CSU-SLS,1.7142857142857142,0.00508264583746576
400,PS-HS,1.6247906197654942,-0.1838451481094041
400,PS-AD,1.1463022508038585,-0.6041275307108478
400,PS-VL,1.6765625,0.015232945963573608
400,PS-CSU,1.5499231950844854,-0.06998407156191155
400,PS-SLS,1.6741935483870967,-0.06377517393757848
400,AD-HS,1.633711507293355,-0.16281223607618278
400,AD-VL,1.6918429003021147,0.04262537077104889
400,AD-CSU,1.4665676077265972,-0.1412276344144392
400,AD-SLS,1.67601246105919,-0.049844236760124616
400,HS-VL,1.7974882260596545,0.09006471016839668
400,HS-CSU,1.6682098765432098,0.002208648041981176
400,HS-SLS,1.7277147487844409,-0.056347935395065774
400,VL-CSU,1.520923520923521,0.00222850626076454
400,VL-SLS,1.7371601208459215,0.10040365050488687
400,CSU-SLS,1.5839524517087666,-0.011381731242238624
582,PS-HS,1.4982973893303064,-0.22573993202025222
582,PS-AD,1.078021978021978,-0.6039107522435756
582,PS-VL,1.5576923076923077,-0.048646779666773776
582,PS-CSU,1.4758403361344539,-0.0916277469892064
582,PS-SLS,1.5569060773480663,-0.12923777674529502
582,AD-HS,1.4684385382059801,-0.20964035694754712
582,AD-VL,1.5666666666666667,0.006286005504616332
582,AD-CSU,1.3793456032719837,-0.14216405365464535
582,AD-SLS,1.5767991407089152,-0.0633862871874149
582,HS-VL,1.6766917293233083,0.07420647707625339
582,HS-CSU,1.5079197465681098,-0.05569450144352417
582,HS-SLS,1.6388888888888888,-0.04340113009244617
582,VL-CSU,1.4282868525896415,-0.017629161430515516
582,VL-SLS,1.5966562173458725,0.032064432356014416
582,CSU-SLS,1.4912820512820513,-0.034438729472385576
