"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"thioridazine","A375","trt_cp","down",-0.480039055558662,2.26296044227647e-05,0.0022077593603016,-1.95740296374094,-1.44225786452102,562,485,"ADRA1A; ADRA1B; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7; KCNH2; MALT1","Dopamine receptor antagonist","5452"
"NU-7441","PC3","trt_cp","down",-0.455718672180197,2.36740477038154e-05,0.0022077593603016,-1.95660233412631,-1.16153567144924,562,485,"ABCB1; PRKDC","DNA dependent protein kinase inhibitor; P-glycoprotein inhibitor","11327430"
"BX-795","HT29","trt_cp","up",0.427554308217045,2.48925648650412e-05,0.0022077593603016,1.92703114955222,0,562,485,"CDK2; CHEK1; GSK3B; IKBKE; KDR; PDK1; TBK1","IKK inhibitor","10077147"
"clocortolone-pivalate","A549","trt_cp","down",-0.463440678000398,2.33694184135089e-05,0.0022077593603016,-1.88351508188344,-0.85466358800263,562,485,NA,NA,"5282493"
"TG-101348","PC3","trt_cp","down",-0.437709848152104,2.44573801646034e-05,0.0022077593603016,-1.87928246711348,-1.61462864207224,562,485,"BRD4; FLT3; JAK2; RET; TYK2","FLT3 inhibitor; JAK inhibitor","16722836"
"TG-101348","HCC515","trt_cp","down",-0.483453240221432,2.24990490126334e-05,0.0022077593603016,-1.87076228239958,-1.61462864207224,562,485,"BRD4; FLT3; JAK2; RET; TYK2","FLT3 inhibitor; JAK inhibitor","16722836"
"dilazep","HA1E","trt_cp","down",-0.426058261210124,2.49796018051287e-05,0.0022077593603016,-1.86014914043166,-1.36605357491163,562,485,"CACNA1C; SLC29A1","Adenosine reuptake inhibitor","3074"
"BIBX-1382","VCAP","trt_cp","down",-0.44936280517134,2.39786769941218e-05,0.0022077593603016,-1.83547790664952,-1.2126801503701,562,485,"EGFR; ERBB2","EGFR inhibitor; Tyrosine kinase inhibitor","6918508"
"GSK-1070916","MCF7","trt_cp","down",-0.442351802073067,2.42833062844283e-05,0.0022077593603016,-1.83417550740217,-1.05894414548847,562,485,"AURKA; AURKB; AURKC; CYP2D6; CYP3A4","Aurora kinase inhibitor","46885626"
"GSK-1070916","A375","trt_cp","down",-0.448610916300036,2.39786769941218e-05,0.0022077593603016,-1.82925186391407,-1.05894414548847,562,485,"AURKA; AURKB; AURKC; CYP2D6; CYP3A4","Aurora kinase inhibitor","46885626"
"T-98475","HCC515","trt_cp","down",-0.470207167178047,2.30647891232025e-05,0.0022077593603016,-1.81950550764278,-1.37255725627277,562,485,"GNRH1; GNRHR","Gonadotropin releasing factor hormone receptor antagonist","9874838"
"tamoxifen","MCF7","trt_cp","down",-0.438309396683253,2.44573801646034e-05,0.0022077593603016,-1.8174140046294,-1.01496500175947,562,485,"ABCB1; ABCG2; AR; BGLAP; CCND1; CTSD; CYP2C9; CYP3A5; EBP; EBPL; ERBB2; ESR1; ESR2; ESRRG; FMO1; FMO2; FMO3; FMO4; FMO5; GPER1; IGFBP5; KCNH2; NCOR1; NCOR2; NR1I2; ODC1; PRKCA; PRKCB; PRKCE; PRKCG; PRKCI; PRKCZ; SHBG; TGFA; UGT1A4","Estrogen receptor antagonist; Selective estrogen receptor modulator (SERM)","2733526"
"mometasone","A549","trt_cp","down",-0.447014346949603,2.40657139342094e-05,0.0022077593603016,-1.81675520571616,-1.2130355061426,562,485,"NR3C1; PGR","Glucocorticoid receptor agonist; Immunosuppressant","441336"
"PP-2","ASC","trt_cp","down",-0.428750694860054,2.48490463949974e-05,0.0022077593603016,-1.80844976013742,-1.15259300720705,562,485,"ABL1; LCK; LYN; RIPK2; SRC","SRC inhibitor","4878"
"BRD-K71585907","VCAP","trt_cp","down",-0.440718794617254,2.43268247544721e-05,0.0022077593603016,-1.80017037737856,-1.80017037737856,562,485,NA,NA,"54625472"
"SB-218078","SKB","trt_cp","up",0.41386070713353,2.55018234456541e-05,0.0022077593603016,1.79661018446431,1.4152039351064,562,485,"CHEK1","CHK inhibitor","3387354"
"SU-11652","FIBRNPC","trt_cp","down",-0.455898761362064,2.36740477038154e-05,0.0022077593603016,-1.78931086911065,-0.654352777473373,562,485,"CAMK1G; FGF2; FLT1; KDR; KIT; PDGFRA; PDGFRB","Tyrosine kinase inhibitor","5329103"
"rimcazole","HCC515","trt_cp","down",-0.462226985126228,2.34129368835527e-05,0.0022077593603016,-1.78862553343393,-1.06531319828994,562,485,"SIGMAR1","Sigma receptor antagonist","5072"
"podophyllotoxin","A549","trt_cp","up",0.396080455056787,2.62851559064421e-05,0.0022077593603016,1.78857305376309,1.40878788313458,562,485,"CASP3; IGF1R; STMN4; TOP2A; TUBA4A; TUBB","Microtubule inhibitor; Tubulin inhibitor","4865"
"palbociclib","MCF7","trt_cp","down",-0.429126716559798,2.48490463949974e-05,0.0022077593603016,-1.77933877379318,-1.38279471510309,562,485,"CCND3; CDK4; CDK6","CDK inhibitor","5330286"
"purvalanol-a","PC3","trt_cp","down",-0.411406622398318,2.56323788557854e-05,0.0022077593603016,-1.76635105559441,-1.16446386968721,562,485,"CCND1; CCNE1; CDK1; CDK2; CDK4; CDK5; CSNK1G3; RPS6KA1; SRC","CDK inhibitor; DYRK inhibitor","456214"
"CAM-9-027-3","MCF7","trt_cp","down",-0.42522049845773,2.50231202751725e-05,0.0022077593603016,-1.76314196045184,-1.32576264132845,562,485,NA,NA,"49849912"
"mibefradil","A549","trt_cp","down",-0.432663594122244,2.46749725148223e-05,0.0022077593603016,-1.75843089222832,-1.2966181026285,562,485,"ANO1; CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CATSPER1; CATSPER2; CATSPER3; CATSPER4; CYP3A5; CYP3A7; SCN2A; SCN4A; SCN5A; SCN9A","T-type calcium channel blocker","5230270"
"BG-1008","FIBRNPC","trt_cp","down",-0.446721960074113,2.40657139342094e-05,0.0022077593603016,-1.75329377128143,-0.596119882235685,562,485,NA,NA,"73707537"
"MW-STK33-1C","VCAP","trt_cp","up",0.405958817032933,2.58499712060043e-05,0.0022077593603016,1.75213797120225,0.873948244044764,562,485,NA,NA,"5765514"
"fenretinide","ASC","trt_cp","up",0.41633012775128,2.54147865055665e-05,0.0022077593603016,1.74842356760972,0.878258106437969,562,485,"CYP2C8; CYP3A5; RARA; RARG; RBP4","Apoptosis stimulant; Retinoid receptor agonist","5353342"
"withaferin-a","ASC","trt_cp","up",0.412525877274393,2.55453419156978e-05,0.0022077593603016,1.73244720474882,0.892774393071143,562,485,"ACHE; BCHE; IKBKB","IKK inhibitor","73707417"
"etoposide","MCF7","trt_cp","down",-0.417410690582903,2.53712680355227e-05,0.0022077593603016,-1.7307592319213,-1.15607780701454,562,485,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602"
"SCH-58261","ASC","trt_cp","down",-0.409554267165657,2.56758973258292e-05,0.0022077593603016,-1.72748015361407,-0.727635288127881,562,485,"ADORA1; ADORA2A; ADORA2B; ADORA3","Adenosine receptor antagonist","176408"
"scoulerine","VCAP","trt_cp","up",0.400011287429688,2.6111082026267e-05,0.0022077593603016,1.72646814457092,0,562,485,"ADRA1D","Adrenergic receptor antagonist; GABA receptor antagonist; Serotonin receptor antagonist","439654"
"MW-STK33-2A","VCAP","trt_cp","up",0.399882898796294,2.6111082026267e-05,0.0022077593603016,1.72591401299353,1.18116950521771,562,485,NA,NA,"709391"
"hydrocortisone","A549","trt_cp","down",-0.424330270108858,2.50666387452163e-05,0.0022077593603016,-1.72456260615306,0.90792943754001,562,485,"ANXA1; HSD11B2; HSD3B1; NOS2; NR3C1; NR3C2","Corticosteroid agonist; Glucocorticoid receptor agonist; Immunosuppressant","3640"
"devazepide","MCF7","trt_cp","down",-0.415717042354607,2.54147865055665e-05,0.0022077593603016,-1.72373665829565,-1.17787008666186,562,485,"CCKAR; CCKBR; GAST","CCK receptor antagonist","443375"
"hydrocortisone-valerate","A549","trt_cp","down",-0.423916949994277,2.50666387452163e-05,0.0022077593603016,-1.72288279100861,0,562,485,NA,NA,"45006145"
"RS-17053","A549","trt_cp","down",-0.423564659343835,2.50666387452163e-05,0.0022077593603016,-1.72145101174361,-1.45204453998321,562,485,"ADRA1A; ADRA1D","Adrenergic receptor antagonist","3894573"
"xanthohumol","ASC","trt_cp","up",0.409772809704008,2.56758973258292e-05,0.0022077593603016,1.72088539861847,1.2724759557721,562,485,"CYP19A1; VCP","ATPase inhibitor","639665"
"CVF-SUMO-14","VCAP","trt_cp","down",-0.420815213290644,2.51971941553476e-05,0.0022077593603016,-1.71887173991286,-0.584416391570372,562,485,NA,NA,"51003685"
"BRD-K62368279","VCAP","trt_cp","down",-0.420645834121495,2.51971941553476e-05,0.0022077593603016,-1.71817988976585,-1.15118052614312,562,485,NA,NA,"60185012"
