"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"atorvastatin","HA1E","trt_cp","down",-0.603110919101833,1.727683260738e-05,0.000464537096570557,-2.18888880688391,-1.4749811837694,629,107,"AHR; APOA1; APOB; APOE; CCL2; CD40LG; CETP; CRP; CYP3A5; DPP4; FASLG; HMGCR; IL6; LDLR; LPL; MTTP; PON1; RHOA; SERPINE1; SLCO1B1; VCAM1","HMGCR inhibitor","2250"
"lovastatin","HA1E","trt_cp","down",-0.600061921743344,1.74073880175113e-05,0.000464537096570557,-2.17782298801239,-1.30469526946006,629,107,"APOA1; APOB; CYP2C9; CYP3A5; HDAC2; HMGCR; ITGAL; LDLR; LMNA; NR1I2; RAF1; RASD1; RHOA; RHOB","HMGCR inhibitor","3565209"
"rosuvastatin","HA1E","trt_cp","down",-0.589117672293782,1.78860911879929e-05,0.000464537096570557,-2.13810269053284,-1.32243444232182,629,107,"APOB; CRP; HMGCR; SLCO1B1","HMGCR inhibitor","446157"
"ingenol","MCF7","trt_cp","up",0.548715093121654,1.9626829989744e-05,0.000464537096570557,2.08888515584172,0.959478224046438,629,107,"PRKCE","PKC activator","5225086"
"LY-364947","MCF7","trt_cp","down",-0.568654043287102,1.87564605888684e-05,0.000464537096570557,-2.0842497800122,0.949521064282194,629,107,"TGFBR1","p38 MAPK inhibitor; TGF beta receptor inhibitor","447966"
"AS-605240","A375","trt_cp","down",-0.558559465561206,1.91916452893062e-05,0.000464537096570557,-2.06064015331949,-1.28445793515847,629,107,"MAOB; PIK3CA; PIK3CB; PIK3CD; PIK3CG","PI3K inhibitor","10377751"
"UNC-0321","HT29","trt_cp","down",-0.57184372194095,1.86259051787371e-05,0.000464537096570557,-2.02984650449412,-1.00902558119485,629,107,"EHMT2","Histone lysine methyltransferase inhibitor","46901937"
"midostaurin","ASC","trt_cp","down",-0.55320223846512,1.94527561095689e-05,0.000464537096570557,-2.02984602405935,-1.37038454981598,629,107,"AAK1; AURKC; BCR; BRSK1; BRSK2; CAMK2A; CAMK2D; CAMKK1; CAMKK2; CCNB1; CLK4; CUX1; EIF2AK4; FER; FGFR1OP; FGFR1OP2; FGR; FLT1; FLT3; FLT4; GRK1; GRK7; GSK3A; HCK; IKBKE; KDR; KIT; LIMK1; LRRK2; MAP3K10; MAP3K11; MAP3K19; MAP3K2; MAP3K3; MAP3K7; MAP3K9; MAP4K2; MAP4K4; MAP4K5; MARK1; MARK2; MARK3; MARK4; MELK; MINK1; MST4; MYLK; NTRK1; NTRK2; NTRK3; NUAK1; NUAK2; PDGFRA; PDGFRB; PHKG1; PKN1; PKN2; PLK4; PRKCA; PRKCB; PRKCE; PRKCG; PRKCH; PRKG1; PRKG2; PRPF4B; RET; ROS1; RPS6KA1; RPS6KA2; RPS6KA3; RPS6KA4; RPS6KA5; RPS6KA6; RPS6KB1; SIK2; SLK; SRPK1; SRPK3; STK10; STK3; STK4; TBK1; TNK1; TNK2; TSSK1B; TYK2; VEGFA; YES1; ZMYM2","FLT3 inhibitor; KIT inhibitor; PKC inhibitor","9829523"
"kenpaullone","VCAP","trt_cp","up",0.526507834056482,2.05842363307071e-05,0.000464537096570557,2.02514910142272,1.4707506398031,629,107,"CCNB1; CDK1; CDK2; CDK5; CDK9; GSK3A; GSK3B; LCK; MAP4K2; MAP4K4; MAP4K5; MINK1; NUAK1","CDK inhibitor; Glycogen synthase kinase inhibitor","3820"
"BMS-536924","A375","trt_cp","down",-0.544954316314887,1.98009038699191e-05,0.000464537096570557,-2.01044797404866,-1.82522274000267,629,107,"AKT1; CCNE1; CDK2; CYP3A4; ERBB2; IGF1R; INSR; KDR; LCK; MET; PDGFRA; PDGFRB; RET","IGF-1 inhibitor","11353973"
"vemurafenib","A375","trt_cp","down",-0.543004621763044,1.98879408100067e-05,0.000464537096570557,-2.00325515192685,-1.20611972615128,629,107,"BRAF; CYP3A4; CYP3A5; RAF1","RAF inhibitor","42611257"
"mycophenolate-mofetil","MCF7","trt_cp","down",-0.545881190779771,1.97573853998753e-05,0.000464537096570557,-2.00078196088919,-1.36298004645746,629,107,"HCAR2; IMPDH1; IMPDH2","Dehydrogenase inhibitor; Hydroxycarboxylic acid receptor agonist; Immunosuppressant; Inosine monophosphate dehydrogenase inhibitor; Inositol monophosphatase inhibitor","5281078"
"AS-605240","HT29","trt_cp","down",-0.56364986325927,1.89740529390873e-05,0.000464537096570557,-2.00076115343549,-1.28445793515847,629,107,"MAOB; PIK3CA; PIK3CB; PIK3CD; PIK3CG","PI3K inhibitor","10377751"
"NVP-AUY922","MCF7","trt_cp","down",-0.545816252364278,1.97573853998753e-05,0.000464537096570557,-2.00054394644121,-1.46369940254989,629,107,"HSP90AA1; HSP90AA2; HSP90AB1; HSP90B1; TRAP1","HSP inhibitor","10096043"
"PP-1","MCF7","trt_cp","down",-0.545447755365232,1.98009038699191e-05,0.000464537096570557,-1.9991933189406,-1.55774255888127,629,107,"HCK; RET; SRC","ABL inhibitor; SRC inhibitor","1400"
"PI-828","HA1E","trt_cp","down",-0.549552194512118,1.95833115197002e-05,0.000464537096570557,-1.9945064983361,-1.72566222541678,629,107,NA,"PI3K inhibitor","25181195"
"fluvastatin","HA1E","trt_cp","down",-0.549309453136829,1.9626829989744e-05,0.000464537096570557,-1.99362550967794,-1.30056582366744,629,107,"APOA1; APOB; APOE; CYBA; CYP2C8; CYP2C9; F3; HMGCR; ICAM1; LDLR; RHOA; SELP; SERPINE1","HMGCR inhibitor","1548972"
"KI-8751","PHH","trt_cp","up",0.488991608229494,2.22379381923707e-05,0.000464537096570557,1.98379508913758,0.742427811804264,629,107,"KDR","KIT inhibitor; PDGFR receptor inhibitor; VEGFR inhibitor","11317348"
"PU-H71","ASC","trt_cp","down",-0.540591639429049,1.99749777500942e-05,0.000464537096570557,-1.98357438498321,-1.34443622506081,629,107,"HSP90AA1","HSP inhibitor","9549213"
"BRD-A24021119","A549","trt_cp","down",-0.539913508213628,2.0018496220138e-05,0.000464537096570557,-1.98036311633137,-1.40000054758608,629,107,NA,NA,"44142351"
"PI-828","PC3","trt_cp","down",-0.552465796241316,1.94962745796127e-05,0.000464537096570557,-1.97206265969397,-1.72566222541678,629,107,NA,"PI3K inhibitor","25181195"
"CHIR-99021","NPC","trt_cp","up",0.51815646645275,2.09759025611011e-05,0.000464537096570557,1.97045731204972,1.55931009529967,629,107,NA,NA,"9956119"
"PLX-4720","A375","trt_cp","down",-0.532301732314089,2.03666439804882e-05,0.000464537096570557,-1.96377000286953,0.831105831854753,629,107,"BRAF; FGR; KDR; MAP2K5; MLTK; PTK6; SRMS","RAF inhibitor","24180719"
"AZD-7762","ASC","trt_cp","down",-0.534583084128854,2.02360885703569e-05,0.000464537096570557,-1.9615273988389,-1.42841283369987,629,107,"CHEK1; CHEK2","CHK inhibitor","67077825"
"GDC-0879","A375","trt_cp","down",-0.530901742621691,2.0410162450532e-05,0.000464537096570557,-1.95860515444737,0.0400413324427184,629,107,"BRAF; RAF1","RAF inhibitor","11717001"
"dasatinib","ASC","trt_cp","down",-0.526629823837478,2.05842363307071e-05,0.000464537096570557,-1.9323447732849,-1.32824114877192,629,107,"ABL1; ABL2; ACVRL1; BCR; BLK; BMPR1B; BMX; BTK; CSK; DDR1; DDR2; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA8; EPHB1; EPHB2; EPHB3; EPHB4; EPHB6; ERBB3; ERBB4; FGR; FRK; FYN; GAK; HCK; HSPA8; KIT; LCK; LIMK1; LIMK2; LYN; MAP2K5; MAP3K19; MAP3K20; MAP4K5; MAPK14; MLTK; NEK11; NLK; NR4A3; PDGFRA; PDGFRB; PPAT; PTK6; RIPK2; SIK1; SIK2; SIK3; SRC; SRMS; STAT5B; TEC; TESK1; TNK2; TNNI3K; TXK; TYK2; YES1","BCR-ABL kinase inhibitor; Ephrin inhibitor; KIT inhibitor; PDGFR receptor inhibitor; SRC inhibitor; Tyrosine kinase inhibitor","3062316"
