"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"QS-11","NPC","trt_cp","up",0.314630422908476,0.000131708649587495,0.314451408995329,1.55510437015563,0.712755162076462,2243,1928,"ARFGAP1","ARFGAP inhibitor","42623900"
"BRD-K18542345","NEU","trt_cp","down",-0.321382393168867,8.28591669633538e-05,0.314451408995329,-1.54088323388608,0.856089918100359,2243,1928,NA,NA,"54657601"
"5-iodotubercidin","NPC","trt_cp","up",0.310295515326769,0.000200206721436402,0.314451408995329,1.53367849003184,0,2243,1928,"ADK; CSNK1G2; DOT1L; GSG2; HASPIN; LRRK2; MAPK3","Adenosine kinase inhibitor","1830"
"L-741742","PC3","trt_cp","up",0.312408340559506,0.000167807220488809,0.314451408995329,1.53150106623272,0,2243,1928,"DRD3; DRD4; SCN1A; SCN3A","Dopamine receptor antagonist","133008"
"QL-X-138","HS578T","trt_cp","down",-0.307443683514705,0.000262590448244158,0.314451408995329,-1.50737114217785,-1.27367126368837,2243,1928,"BTK; MKNK2; MTOR; PRKDC","MTOR inhibitor","73707530"
"epoxycholesterol","MCF7","trt_cp","down",-0.305739455752271,0.000288462178685184,0.314451408995329,-1.49033089997842,0,2243,1928,"NR1H2; NR1H3","LXR agonist","3247059"
"teniposide","PC3","trt_cp","up",0.303474654447162,0.000381069482938344,0.314451408995329,1.48770598130656,0,2243,1928,"ABCC3; CYP2C9; CYP3A5; TOP2A","Topoisomerase inhibitor","5396"
"QL-X-138","ASC","trt_cp","down",-0.304266419458753,0.000347690816414767,0.314451408995329,-1.48329026462259,-1.27367126368837,2243,1928,"BTK; MKNK2; MTOR; PRKDC","MTOR inhibitor","73707530"
"xanthoxyline","NPC","trt_cp","up",0.300011059576474,0.000502137866600136,0.314451408995329,1.48284614542222,1.07348737259643,2243,1928,NA,"Antifungal","66654"
"cromakalim","NPC","trt_cp","up",0.297505712138054,0.000602317384640913,0.314451408995329,1.47046311928562,0,2243,1928,"ABCC9; KCNJ5; KCNJ8","Potassium channel activator","71191"
"homoharringtonine","ASC","trt_cp","down",-0.299700689799166,0.000502137866600136,0.314451408995329,-1.46103246053427,-1.23098431728527,2243,1928,"RPL3","Protein synthesis inhibitor","16219462"
"JNJ-38877605","SKBR3","trt_cp","down",-0.303698176158873,0.000347690816414767,0.314451408995329,-1.45562391551208,0.619437242805866,2243,1928,"MET","Tyrosine kinase inhibitor","46911863"
"Y-134","PC3","trt_cp","up",0.296534052855356,0.000660088153624029,0.314451408995329,1.45368147761018,0,2243,1928,"ESR1; ESR2","Estrogen receptor antagonist","11784736"
"suloctidil","SKB","trt_cp","up",0.299317251670576,0.000548572074136847,0.314451408995329,1.44836553972503,0.830406834018967,2243,1928,NA,"Adrenergic receptor antagonist","5354"
"aminopentamide","HCC515","trt_cp","down",-0.291120366617013,0.00112815105817989,0.314451408995329,-1.4455343041783,0,2243,1928,NA,"Acetylcholine receptor antagonist","22565"
"BRD-K88217904","MCF7","trt_cp","down",-0.29648773350814,0.000722254288081566,0.314451408995329,-1.44523326119143,-0.0144523326119143,2243,1928,NA,NA,"44499565"
"BX-795","HT29","trt_cp","up",0.289794435679514,0.00122939677873674,0.314451408995329,1.43933347639933,0.67960164546823,2243,1928,"CDK2; CHEK1; GSK3B; IKBKE; KDR; PDK1; TBK1","IKK inhibitor","10077147"
"WH-4023","A549","trt_cp","up",0.288823099798851,0.0013420878569151,0.314451408995329,1.4339300953873,0.932819929345429,2243,1928,"ABL1; LCK; SRC","SRC inhibitor","11844351"
"BRD-K66658536","HT29","trt_cp","up",0.2871366730406,0.00159862923782317,0.314451408995329,1.42613306166554,-0.0193478524974932,2243,1928,NA,NA,"60189690"
"BRD-K98790311","VCAP","trt_cp","up",0.293129362370482,0.000944242003774879,0.314451408995329,1.42569840471941,1.42569840471941,2243,1928,NA,NA,"54620190"
"BRD-K55536701","SKB","trt_cp","up",0.294012467205421,0.000864711999769874,0.314451408995329,1.42269623074896,0,2243,1928,NA,NA,"23836210"
"BRD-K87403606","MCF7","trt_cp","up",0.288891447051337,0.0013420878569151,0.314451408995329,1.4210554817816,1.21324902362882,2243,1928,NA,NA,"60859"
"aminomethyltransferase","PC3","trt_cp","down",-0.290360293887019,0.00122939677873674,0.314451408995329,-1.41546622369759,0,2243,1928,"NOS2","Nitric oxide synthase inhibitor","NotFound"
"cephaeline","HA1E","trt_cp","down",-0.289920095437741,0.00122939677873674,0.314451408995329,-1.41315126367381,-1.17659170144837,2243,1928,"RPS2","Protein synthesis inhibitor","442195"
"BRD-A11009626","NEU","trt_cp","up",0.290799338405933,0.00112815105817989,0.314451408995329,1.41246840681046,0.946353832563009,2243,1928,NA,NA,"73707591"
