"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"AZD-8055","PC3","trt_cp","down",-0.41926236615414,2.52842310954352e-05,0.0158214020875227,-1.99180958683545,-1.47928341083866,2415,1937,"MTOR","MTOR inhibitor","25262965"
"GSK-1070916","MCF7","trt_cp","down",-0.395938561899802,2.62851559064421e-05,0.0158214020875227,-1.85575117234839,-1.08941174219752,2415,1937,"AURKA; AURKB; AURKC; CYP2D6; CYP3A4","Aurora kinase inhibitor","46885626"
"KU-0063794","PC3","trt_cp","down",-0.383315080465501,2.68508960170112e-05,0.0158214020875227,-1.82103311359239,-1.60197749084158,2415,1937,"MTOR","MTOR inhibitor","16736978"
"BMS-536924","MCF7","trt_cp","down",-0.386087123687293,2.67203406068799e-05,0.0158214020875227,-1.80957780160001,-1.52550142603,2415,1937,"AKT1; CCNE1; CDK2; CYP3A4; ERBB2; IGF1R; INSR; KDR; LCK; MET; PDGFRA; PDGFRB; RET","IGF-1 inhibitor","11353973"
"AZD-8055","MCF7","trt_cp","down",-0.385032540446568,2.67638590769236e-05,0.0158214020875227,-1.80463500422275,-1.47928341083866,2415,1937,"MTOR","MTOR inhibitor","25262965"
"SB-218078","SKB","trt_cp","up",0.35909793618194,2.79388577681057e-05,0.0158214020875227,1.77288002786641,1.2613128098012,2415,1937,"CHEK1","CHK inhibitor","3387354"
"KU-0063794","HCC515","trt_cp","down",-0.372944853777363,2.7286080717449e-05,0.0158214020875227,-1.76822795624857,-1.60197749084158,2415,1937,"MTOR","MTOR inhibitor","16736978"
"VU-0410183-2","MCF7","trt_cp","down",-0.375189791306562,2.71990437773614e-05,0.0158214020875227,-1.75850235887481,-1.31198698754397,2415,1937,NA,NA,"44631784"
"tozasertib","MCF7","trt_cp","down",-0.374191070980743,2.72425622474052e-05,0.0158214020875227,-1.75382138916427,-1.07300468399002,2415,1937,"ABL1; ABL2; AURKA; AURKAIP1; AURKB; AURKC; BCR; BMP2K; CDKL2; DDR1; DDR2; EPHA2; EPHB6; FLT3; INCENP; JAK2; LCK; LIMK1; MAP3K19; MAP4K1; MAP4K5; MYLK2; MYLK3; NTRK1; NTRK2; NTRK3; NUAK1; PLK4; RET; RIPK1; ROS1; SLK; SRPK1; TAOK2; TAOK3; TEK; TNK1; TPX2; YES1","Aurora kinase inhibitor; BCR-ABL kinase inhibitor; FLT3 inhibitor; JAK inhibitor","5494449"
"NU-7441","PC3","trt_cp","down",-0.36695431381831,2.75471915377116e-05,0.0158214020875227,-1.74330724433593,-1.12150495662698,2415,1937,"ABCB1; PRKDC","DNA dependent protein kinase inhibitor; P-glycoprotein inhibitor","11327430"
