"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"naftopidil","MCF7","trt_cp","up",0.701708003697854,1.29685040730459e-05,9.41369780148809e-05,1.85071000542769,0.0185071000542773,12,12,"ADRA1A; ADRA1D","Adrenergic receptor antagonist","4418"
"BRD-K99750636","PC3","trt_cp","down",-0.744348015768218,1.11407283312072e-05,9.41369780148809e-05,-1.8505469464101,-1.23986645409477,12,12,NA,NA,"60187511"
"buparlisib","MCF7","trt_cp","down",-0.741518276231684,1.12277652712948e-05,9.41369780148809e-05,-1.8485521137555,-1.32478753450038,12,12,NA,NA,"16654980"
"niacin","HEPG2","trt_cp","down",-0.718010180326115,1.22722085523455e-05,9.41369780148809e-05,-1.8250228780314,-1.14218911107595,12,12,"ACHE; DGAT2; HCAR1; HCAR2; HCAR3; NNMT; PTGDR; QPRT","NAD precursor with lipid lowering effects; Vitamin B","938"
"acitretin","FIBRNPC","trt_cp","up",0.68149786552046,1.38823919439653e-05,9.41369780148809e-05,1.82280482663802,-0.0228001680023268,12,12,"CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3","Retinoid receptor agonist","5284513"
"ethotoin","HT29","trt_cp","up",0.688491216391175,1.35777626536588e-05,9.41369780148809e-05,1.79630782884429,-0.617290467362125,12,12,"NR1I2; SCN5A","Hydantoin antiepileptic","3292"
"EMF-sumo1-8","PC3","trt_cp","down",-0.714400498421038,1.24462824325206e-05,9.41369780148809e-05,-1.77609348431255,0,12,12,NA,NA,"260972"
"BRD-K74446951","HT29","trt_cp","up",0.673500741127955,1.41870212342717e-05,9.41369780148809e-05,1.75719693326226,1.29391563228794,12,12,NA,NA,"44490286"
"norcyclobenzaprine","NPC","trt_cp","up",0.684988761813815,1.37083180637902e-05,9.41369780148809e-05,1.75375990441152,0.531366629386226,12,12,NA,"Adrenergic receptor agonist; Serotonin receptor antagonist","9918"
"BRD-A81372523","A549","trt_cp","down",-0.692505187309286,1.33601703034399e-05,9.41369780148809e-05,-1.75015650437444,-0.561484213215622,12,12,NA,NA,"3843095"
"JLK-6","HA1E","trt_cp","up",0.687737464578267,1.35777626536588e-05,9.41369780148809e-05,1.74922967178633,0.679797019795058,12,12,"PSEN1","Anti-amyloidogenic; Gamma secretase inhibitor","3803"
"kinetin-riboside","NKDBA","trt_cp","down",-0.630813700223273,1.60583154461542e-05,9.41369780148809e-05,-1.74518609708188,0.769446987823376,12,12,NA,"Apoptosis stimulant","20345"
