"Disease","Rank","Compound","NCS","FDR","Cell_line","Target","MOA"
"PS",1,"AZD-8055",-1.992,0.0158,"PC3","MTOR","MTOR inhibitor"
"PS",2,"GSK-1070916",-1.856,0.0158,"MCF7","AURKA; AURKB; AURKC; CYP2D6; CYP3A4","Aurora kinase inhibitor"
"PS",3,"KU-0063794",-1.821,0.0158,"PC3","MTOR","MTOR inhibitor"
"PS",4,"BMS-536924",-1.81,0.0158,"MCF7","AKT1; CCNE1; CDK2; CYP3A4; ERBB2; IGF1R; INSR; KDR; LCK; MET; PDGFRA; PDGFRB; RET","IGF-1 inhibitor"
"PS",5,"VU-0410183-2",-1.759,0.0158,"MCF7","-","-"
"PS",6,"tozasertib",-1.754,0.0158,"MCF7","ABL1; ABL2; AURKA; AURKAIP1; AURKB; AURKC; BCR; BMP2K; CDKL2; DDR1; DDR2; EPHA2; EPHB6; FLT3; INCENP; JAK2; LCK; LIMK1; MAP3K19; MAP4K1; MAP4K5; MYLK2; MYLK3; NTRK1; NTRK2; NTRK3; NUAK1; PLK4; RET; RIPK1; ROS1; SLK; SRPK1; TAOK2; TAOK3; TEK; TNK1; TPX2; YES1","Aurora kinase inhibitor; BCR-ABL kinase inhibitor; FLT3 inhibitor; JAK inhibitor"
"PS",7,"NU-7441",-1.743,0.0158,"PC3","ABCB1; PRKDC","DNA dependent protein kinase inhibitor; P-glycoprotein inhibitor"
"PS",8,"SA-1017940",-1.741,0.0158,"VCAP","-","-"
"PS",9,"PI-828",-1.738,0.0158,"PC3","-","PI3K inhibitor"
"PS",10,"BRD-K62169556",-1.737,0.0158,"MCF7","-","-"
"PS",11,"NVP-BEZ235",-1.728,0.0158,"A549","-","-"
"PS",12,"tamoxifen",-1.715,0.0158,"MCF7","ABCB1; ABCG2; AR; BGLAP; CCND1; CTSD; CYP2C9; CYP3A5; EBP; EBPL; ERBB2; ESR1; ESR2; ESRRG; FMO1; FMO2; FMO3; FMO4; FMO5; GPER1; IGFBP5; KCNH2; NCOR1; NCOR2; NR1I2; ODC1; PRKCA; PRKCB; PRKCE; PRKCG; PRKCI; PRKCZ; SHBG; TGFA; UGT1A4","Estrogen receptor antagonist; Selective estrogen receptor modulator (SERM)"
"PS",13,"AS-605240",-1.69,0.0158,"A375","MAOB; PIK3CA; PIK3CB; PIK3CD; PIK3CG","PI3K inhibitor"
"PS",14,"BRD-K08725721",-1.689,0.0158,"VCAP","-","-"
"PS",15,"PP-1",-1.688,0.0158,"MCF7","HCK; RET; SRC","ABL inhibitor; SRC inhibitor"
"PS",16,"LY-294002",-1.688,0.0158,"PC3","AKT1; CHEK1; GSK3B; LCK; MAPK11; MAPK12; MAPK14; MAPK8; MTOR; PDE2A; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIM1; PLK1; PRKCA; PRKDC; ROCK1; RPS6KB1; SGK1","DNA dependent protein kinase inhibitor; MTOR inhibitor; Phosphodiesterase inhibitor; PI3K inhibitor; PLK inhibitor"
"PS",17,"BRD-K06009608",-1.685,0.0158,"VCAP","-","-"
"PS",18,"PU-H71",-1.678,0.0158,"ASC","HSP90AA1","HSP inhibitor"
"PS",19,"PP-2",-1.675,0.0158,"ASC","ABL1; LCK; LYN; RIPK2; SRC","SRC inhibitor"
"PS",20,"BRD-K71188711",-1.67,0.0158,"VCAP","-","-"
"AD",1,"thioridazine",-1.957,0.00221,"A375","ADRA1A; ADRA1B; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7; KCNH2; MALT1","Dopamine receptor antagonist"
"AD",2,"NU-7441",-1.957,0.00221,"PC3","ABCB1; PRKDC","DNA dependent protein kinase inhibitor; P-glycoprotein inhibitor"
"AD",3,"clocortolone-pivalate",-1.884,0.00221,"A549","-","-"
"AD",4,"TG-101348",-1.879,0.00221,"PC3","BRD4; FLT3; JAK2; RET; TYK2","FLT3 inhibitor; JAK inhibitor"
"AD",5,"dilazep",-1.86,0.00221,"HA1E","CACNA1C; SLC29A1","Adenosine reuptake inhibitor"
"AD",6,"BIBX-1382",-1.835,0.00221,"VCAP","EGFR; ERBB2","EGFR inhibitor; Tyrosine kinase inhibitor"
"AD",7,"GSK-1070916",-1.834,0.00221,"MCF7","AURKA; AURKB; AURKC; CYP2D6; CYP3A4","Aurora kinase inhibitor"
"AD",8,"T-98475",-1.82,0.00221,"HCC515","GNRH1; GNRHR","Gonadotropin releasing factor hormone receptor antagonist"
"AD",9,"tamoxifen",-1.817,0.00221,"MCF7","ABCB1; ABCG2; AR; BGLAP; CCND1; CTSD; CYP2C9; CYP3A5; EBP; EBPL; ERBB2; ESR1; ESR2; ESRRG; FMO1; FMO2; FMO3; FMO4; FMO5; GPER1; IGFBP5; KCNH2; NCOR1; NCOR2; NR1I2; ODC1; PRKCA; PRKCB; PRKCE; PRKCG; PRKCI; PRKCZ; SHBG; TGFA; UGT1A4","Estrogen receptor antagonist; Selective estrogen receptor modulator (SERM)"
"AD",10,"mometasone",-1.817,0.00221,"A549","NR3C1; PGR","Glucocorticoid receptor agonist; Immunosuppressant"
"AD",11,"PP-2",-1.808,0.00221,"ASC","ABL1; LCK; LYN; RIPK2; SRC","SRC inhibitor"
"AD",12,"BRD-K71585907",-1.8,0.00221,"VCAP","-","-"
"AD",13,"SU-11652",-1.789,0.00221,"FIBRNPC","CAMK1G; FGF2; FLT1; KDR; KIT; PDGFRA; PDGFRB","Tyrosine kinase inhibitor"
"AD",14,"rimcazole",-1.789,0.00221,"HCC515","SIGMAR1","Sigma receptor antagonist"
"AD",15,"palbociclib",-1.779,0.00221,"MCF7","CCND3; CDK4; CDK6","CDK inhibitor"
"AD",16,"purvalanol-a",-1.766,0.00221,"PC3","CCND1; CCNE1; CDK1; CDK2; CDK4; CDK5; CSNK1G3; RPS6KA1; SRC","CDK inhibitor; DYRK inhibitor"
"AD",17,"CAM-9-027-3",-1.763,0.00221,"MCF7","-","-"
"AD",18,"mibefradil",-1.758,0.00221,"A549","ANO1; CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CATSPER1; CATSPER2; CATSPER3; CATSPER4; CYP3A5; CYP3A7; SCN2A; SCN4A; SCN5A; SCN9A","T-type calcium channel blocker"
"AD",19,"BG-1008",-1.753,0.00221,"FIBRNPC","-","-"
"AD",20,"etoposide",-1.731,0.00221,"MCF7","ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor"
"HS",1,"BRD-K18542345",-1.541,0.314,"NEU","-","-"
"HS",2,"QL-X-138",-1.507,0.314,"HS578T","BTK; MKNK2; MTOR; PRKDC","MTOR inhibitor"
"HS",3,"epoxycholesterol",-1.49,0.314,"MCF7","NR1H2; NR1H3","LXR agonist"
"HS",4,"homoharringtonine",-1.461,0.314,"ASC","RPL3","Protein synthesis inhibitor"
"HS",5,"JNJ-38877605",-1.456,0.314,"SKBR3","MET","Tyrosine kinase inhibitor"
"HS",6,"aminopentamide",-1.446,0.314,"HCC515","-","Acetylcholine receptor antagonist"
"HS",7,"BRD-K88217904",-1.445,0.314,"MCF7","-","-"
"HS",8,"aminomethyltransferase",-1.415,0.314,"PC3","NOS2","Nitric oxide synthase inhibitor"
"HS",9,"cephaeline",-1.413,0.314,"HA1E","RPS2","Protein synthesis inhibitor"
"HS",10,"BRD-K83727172",-1.406,0.314,"VCAP","-","-"
"HS",11,"cyanopindolol",-1.404,0.314,"FIBRNPC","HTR1D","Adrenergic receptor antagonist"
"HS",12,"demeclocycline",-1.4,0.314,"PC3","-","Bacterial 30S ribosomal subunit inhibitor"
"HS",13,"BRD-K62919978",-1.399,0.314,"NEU","-","-"
