"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"anandamide","PC3","trt_cp","up",0.579625601368254,1.82777574183869e-05,0.000432778476990414,2.19151853309227,0.99293284822447,1258,953,"CACNA1G; CACNA1H; CACNA1I; CNR1; CNR2; FAAH2; GLRA1; GPR119; GPR18; GPR55; KCNA2; KCND3; KCNK3; KCNK9; PLD1; PLD2; PLD3; TRPM8; TRPV1","Cannabinoid receptor agonist","5281969"
"BRD-K53335770","MCF7","trt_cp","up",0.60206621628429,1.73203510774238e-05,0.000432778476990414,2.17287273492524,0.877441012718695,1258,953,NA,NA,"44237407"
"pirfenidone","PC3","trt_cp","up",0.548943300295245,1.9626829989744e-05,0.000432778476990414,2.0755111806208,0.0390911467859147,1258,953,"FURIN; MAPK14; TNF; TNFRSF1A","TGF beta receptor inhibitor","40632"
"YM-298198","PC3","trt_cp","up",0.543940416605372,1.98444223399629e-05,0.000432778476990414,2.05659567326678,1.02925645885685,1258,953,"GRM1","Glutamate receptor antagonist","9819432"
"ilomastat","MCF7","trt_cp","up",0.567767850940021,1.87999790589122e-05,0.000432778476990414,2.0490890365656,0.891365331027702,1258,953,"ACAN; ADAM28; MMP1; MMP12; MMP13; MMP14; MMP2; MMP3; MMP8; MMP9","Matrix metalloprotease inhibitor","132519"
"GW-7647","MCF7","trt_cp","up",0.560968465911688,1.91046083492187e-05,0.000432778476990414,2.02454987801007,0,1258,953,"PPARA","PPAR receptor agonist","3392731"
"erythrosine","HCC515","trt_cp","down",-0.505804565974489,2.14981242016265e-05,0.000432778476990414,-1.99060293057732,-1.40997629654644,1258,953,NA,"Coloring agent","12961638"
"W-9","PC3","trt_cp","up",0.524651651496059,2.06712732707947e-05,0.000432778476990414,1.98366637870536,1.0799536503028,1258,953,"CALM2","Calmodulin antagonist","4306"
"naproxen","PC3","trt_cp","up",0.520838368580586,2.08453471509698e-05,0.000432778476990414,1.96924865774642,0.993837606008038,1258,953,"AKR1C2; AKR1C3; CYP2C9; LTF; PNLIP; TF","Cyclooxygenase inhibitor","1302"
"BRD-K25070860","MCF7","trt_cp","up",0.545022018384499,1.98009038699191e-05,0.000432778476990414,1.96699873145249,0.828419696583293,1258,953,NA,NA,"44487526"
"BRD-K00429057","MCF7","trt_cp","down",-0.542974269553834,1.98879408100067e-05,0.000432778476990414,-1.89957599910936,-0.874396207406239,1258,953,NA,NA,"44490923"
"cytochalasin-d","A549","trt_cp","down",-0.527233312442736,2.05842363307071e-05,0.000432778476990414,-1.89936571685241,-1.30797779732787,1258,953,"ACTB","Actin polymerization inhibitor","44634700"
"PPT","PC3","trt_cp","down",-0.522483552264723,2.0801828680926e-05,0.000432778476990414,-1.89823301734912,-0.725574147751911,1258,953,"ESR1","Estrogen receptor agonist","6095481"
"simvastatin","A549","trt_cp","down",-0.525904719997605,2.06277548007509e-05,0.000432778476990414,-1.89457944314323,-1.36510987681842,1258,953,"APOA1; APOE; COG2; CYP2C8; CYP3A4; CYP3A5; HMGCR; ITGAL; ITGB2; LDLR; PON1","HMGCR inhibitor","54454"
"helveticoside","HA1E","trt_cp","up",0.459894396592818,2.34999738236403e-05,0.000432778476990414,1.87668962265323,1.20750274457757,1258,953,"ATP1A1","ATPase inhibitor","441860"
"clemizole","MCF7","trt_cp","up",0.518490669377122,2.09759025611011e-05,0.000432778476990414,1.87124639837075,1.2537350869084,1258,953,NA,NA,"5309446"
"BRD-K74163137","MCF7","trt_cp","up",0.518126789087495,2.09759025611011e-05,0.000432778476990414,1.86993314488015,0.991567479519135,1258,953,NA,NA,"44490437"
"BRD-K75813018","NPC","trt_cp","up",0.478219547065488,2.27166413628523e-05,0.000432778476990414,1.86862285957688,0.968863305376204,1258,953,NA,NA,"54657754"
"BRD-A10330754","PC3","trt_cp","up",0.492720830506772,2.20638643121956e-05,0.000432778476990414,1.86293847122562,0.904561068108456,1258,953,NA,NA,"2956728"
"IBC-293","MCF7","trt_cp","up",0.516042026599333,2.10629395011887e-05,0.000432778476990414,1.86240918248731,0.872324590533859,1258,953,"HCAR3","Hydroxycarboxylic acid receptor agonist","2736690"
"ST-4075437","PC3","trt_cp","up",0.492505124819447,2.20638643121956e-05,0.000432778476990414,1.8621229050906,0.918227478080876,1258,953,NA,NA,"3455588"
"clopamide","MCF7","trt_cp","up",0.515468281645245,2.11064579712325e-05,0.000432778476990414,1.86033852192902,1.24642680969245,1258,953,NA,NA,"12492"
"BRD-K14383710","VCAP","trt_cp","down",-0.500078243034993,2.17592350218891e-05,0.000432778476990414,-1.86026609420227,-1.76412163252213,1258,953,NA,NA,"54620506"
"delcorine","PC3","trt_cp","up",0.490268345412783,2.21944197223269e-05,0.000432778476990414,1.85366581915001,1.03491717591345,1258,953,NA,"Antiarrhythmic; Ganglionic blocker","441724"
"BRD-K56664261","VCAP","trt_cp","down",-0.497423811936019,2.18897904320205e-05,0.000432778476990414,-1.85039174305504,-1.23976246784688,1258,953,NA,NA,"54615606"
"bicuculline","MCF7","trt_cp","up",0.511666771145688,2.12370133813638e-05,0.000432778476990414,1.84661877102355,0.982107433507674,1258,953,"GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; KCNN1","GABA receptor antagonist","6710622"
"GSK-1904529A","HS578T","trt_cp","up",0.518262077052174,2.09759025611011e-05,0.000432778476990414,1.84654512778663,1.01144875525087,1258,953,"IGF1R; INSR","IGF-1 inhibitor; IGF-1R inhibitor; Insulin receptor ligand","25124816"
"m-chlorophenylbiguanide","MCF7","trt_cp","up",0.510582243701417,2.12805318514076e-05,0.000432778476990414,1.84270468308738,1.20891518274191,1258,953,"HTR3A; HTR3B","Serotonin receptor agonist","2730228"
"BRD-A89333723","PC3","trt_cp","up",0.486315127393375,2.2368493602502e-05,0.000432778476990414,1.83871901463613,0.871546774244118,1258,953,NA,NA,"23863814"
"CDC","ASC","trt_cp","up",0.495881091172459,2.19333089020643e-05,0.000432778476990414,1.83840652932271,0.0258270769884168,1258,953,"ALOX12; ALOX5","Lipoxygenase inhibitor","14840979"
"W-7","MCF7","trt_cp","up",0.508868617496618,2.13675687914951e-05,0.000432778476990414,1.83652016125648,0.842944039153078,1258,953,"CALM1; CALM2; KCNA5; KCNH2; TNNC1; TNNI3","Calmodulin antagonist; Potassium channel blocker","124887"
"BRD-K00289828","MCF7","trt_cp","down",-0.524419962666317,2.07147917408385e-05,0.000432778476990414,-1.83466442222636,-1.25592207273074,1258,953,NA,NA,"855567"
"SD-6-035-A9","MCF7","trt_cp","down",-0.524143317307663,2.07147917408385e-05,0.000432778476990414,-1.83369658836565,-1.44660619502295,1258,953,NA,NA,"44620122"
"sappanone-a","MCF7","trt_cp","down",-0.523626432038707,2.07147917408385e-05,0.000432778476990414,-1.83188828379901,1.06581598073532,1258,953,NA,"Melanin inhibitor; Tyrosinase inhibitor","9817274"
