"A","B","overlap_n","overlap_drugs"
"PS","CSU",19,"AZD-8055;KU-0063794;BMS-536924;tozasertib;PI-828;AS-605240;PP-1;LY-294002;PU-H71;PP-2;PI-103;TG-101348;ZSTK-474;PP-110;TPCA-1;BRD-K42576592;midostaurin;BIBX-1382;PLX-4720"
"PS","AD",11,"GSK-1070916;BMS-536924;VU-0410183-2;NU-7441;tamoxifen;PP-1;PP-2;TG-101348;ZK-164015;midostaurin;BIBX-1382"
"AD","CSU",8,"TG-101348;BIBX-1382;PP-2;midostaurin;U-0126;PP-1;BMS-536924;NVP-TAE684"
"HS","CSU",3,"AS-605240;TG-101348;NVP-AUY922"
"CSU","SLS",3,"lovastatin;PI-103;TPCA-1"
"PS","HS",2,"AS-605240;TG-101348"
"PS","SLS",2,"PI-103;TPCA-1"
"AD","HS",1,"TG-101348"
"AD","VL",1,"mibefradil"
"HS","VL",1,"sappanone-a"
"VL","CSU",1,"simvastatin"
"PS","VL",0,""
"AD","SLS",0,""
"HS","SLS",0,""
"VL","SLS",0,""
