"disease","CUI"
"Liver carcinoma","C2239176"
"Liver Cirrhosis, Experimental","C0023893"
"Influenza","C0021400"
"Dermatitis, Allergic Contact","C0162820"
"Obesity","C0028754"
"Lymphoma","C0024299"
"Chronic Obstructive Airway Disease","C0024117"
"Juvenile psoriatic arthritis","C3714758"
"Juvenile arthritis","C3495559"
"Myocardial Ischemia","C0151744"
"Endometriosis","C0014175"
"Spontaneous abortion","C0000786"
"HIV Infections","C0019693"
"Atherosclerosis","C0004153"
"Cerebral Ischemia","C0917798"
"Infarction, Middle Cerebral Artery","C0740392"
"Pneumonia","C0032285"
"Osteoporosis","C0029456"
"Rheumatoid Arthritis","C0003873"
"Multiple Sclerosis","C0026769"
"Anemia, Diamond-Blackfan","C1260899"
"Frontotemporal Lobar Degeneration","C0751072"
"Optic Atrophy","C0029124"
"Amyotrophic Lateral Sclerosis","C0002736"
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 58","C4693367"
"Candidiasis, Vulvovaginal","C0700345"
"Juvenile-onset dystonia","C1846331"
"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 1","C4551552"
