"connected_disease","skin_disease","overlap_n","drugs"
"Liver carcinoma","AD",25,"palbociclib;devazepide;WZ-3146;WZ-4-145;ZK-164015;NNC-05-2090;naproxol;estradiol-benzoate;WZ-4002;TG-101348;NTNCB;BRD-K31706415;mibefradil;tamoxifen;wortmannin;T-98475;thioridazine;BRD-K85211514;amlodipine;SU-11652;BMS-536924;tyrphostin-A9;Y-134;GSK-1070916;etoposide"
"HIV Infections","CSU",11,"methotrexate;mycophenolic-acid;BRD-K84959002;CCT-018159;PLX-4720;BRD-K02562327;mycophenolate-mofetil;lovastatin;PP-110;BRD-A24021119;hinokitiol"
"Liver carcinoma","PS",10,"ZK-164015;sunitinib;TG-101348;tamoxifen;wortmannin;T-98475;thioridazine;SU-11652;BMS-536924;GSK-1070916"
"Optic Atrophy","PS",10,"NVP-TAE684;JW-7-24-1;BRD-K62169556;AS-605240;TG-101348;PP-2;KU-0063794;fostamatinib;AZD-8055;ZSTK-474"
"Dermatitis, Allergic Contact","CSU",8,"BIIB-021;aminopurvalanol-a;AZD-7762;TG-101348;KU-0060648;BRD-K87125912;purvalanol-a;AS-605240"
"Endometriosis","AD",8,"BMS-536924;AZD-8055;BRD-K62169556;vorinostat;midostaurin;wortmannin;NVP-TAE684;BW-B70C"
"Infarction, Middle Cerebral Artery","PS",8,"WYE-354;BRD-K71188711;ZK-164015;IKK-16;nilotinib;PU-H71;fostamatinib;entinostat"
"Liver carcinoma","VL",8,"WZ-3146;phorbol-12-myristate-13-acetate;dichlorobenzamil;mibefradil;wortmannin;cytochalasin-b;BRD-K85211514;WH-4023"
"Optic Atrophy","CSU",8,"NVP-TAE684;AS-605240;TG-101348;PP-2;KU-0063794;fostamatinib;AZD-8055;ZSTK-474"
"Atherosclerosis","AD",7,"BRD-K87125912;clobetasol;tamoxifen;WH-4025;fludroxycortide;ZK-164015;BMS-536924"
"Dermatitis, Allergic Contact","PS",7,"aminopurvalanol-a;TG-101348;KU-0060648;purvalanol-a;AS-605240;WYE-125132;JAK3-inhibitor-I"
"Endometriosis","PS",7,"BMS-536924;AZD-8055;BRD-K62169556;midostaurin;vemurafenib;wortmannin;NVP-TAE684"
"HIV Infections","PS",7,"BRD-K49010888;PLX-4720;BRD-K02562327;VU-0410183-2;PP-110;JW-7-24-1;wortmannin"
"HIV Infections","AD",7,"BRD-K49010888;HG-6-64-01;naproxol;fludroxycortide;VU-0410183-2;CGP-71683;wortmannin"
"Liver carcinoma","CSU",7,"WZ-4-145;TG-101348;tamoxifen;cytochalasin-b;BMS-536924;GSK-1070916;PD-0325901"
